id	x	y	group
_h5_4338	21336.41	22250.23	108
_h5_4310	21337.86	22247.27	108
_h6_202	21911.12	18908.8	301
_h5_4448	25435.32	20802.46	1228
_h5_3792	25306.32	24918.97	61
_h5_4324	25407.21	20756.66	1228
_h5_4333	23164.56	18653.34	301
_h5_4365	23207.16	18651.67	301
_h5_4332	23989.04	18848.34	1228
_h5_4209	23736.14	18736.88	1228
_h5_4280	23959.78	18832.77	1228
_h6_1462	42190.75	31418.87	7962
_h6_1307	22579.09	27912.84	74020
_h6_1222	40902.4	30417.69	7962
_h5_4631	22368.73	22420.28	50084
_h6_979	19566.3	17546.28	2
_h6_1194	18351.16	16884.58	27340
_h5_4336	31909.17	26214.72	411
_h6_1703	15209.94	13915.23	27340
_h6_1495	15375.85	14145.56	27340
_h5_3849	15761.22	14541.05	27340
_h5_3860	15443.04	14242.86	27340
_h5_4335	36273.65	26889.72	411
_h5_4334	24608.44	24879.14	152
_h5_4730	25810.34	21973.75	1228
_h5_4725	26372.13	25252.87	61
_h5_4743	26283.66	25015.52	61
_h5_4689	30227.5	22828.87	484
_h5_4134	30112.6	22830.32	484
_h5_4688	26105.75	23755.59	1228
_h5_4700	13939.59	12251.51	53255
_h5_4721	21286.88	18963.33	301
_h5_4749	22312.41	19008.18	301
_h5_4638	24133.59	23867.99	60
_h5_4723	28392.29	26429.05	84
_h6_1170	41677.59	30913.92	7962
_h5_4620	28812.35	26420.66	84
_h5_4642	28992.44	26397.79	84
_h5_4741	28222.1	26413.27	84
_h5_4745	28479.48	26433.11	84
_h5_4779	28610.01	26433.25	84
_h6_1221	16864.16	15528.7	27340
_h5_4644	26760.77	26050.54	61
_h6_1418	6772.72	15393.06	122465
_h5_4680	28116.98	26397.55	84
_h5_4735	28159.37	26404.31	84
_h6_1192	15224.0	14187.89	27340
_h5_4685	19083.78	21856.04	166
_h5_4671	19374.18	21660.48	166
_h5_4467	19156.9	23367.23	166
_h6_1533	6745.63	15418.17	122465
_h5_4805	24676.21	19477.2	1228
_h5_4845	19140.06	22433.03	166
_h6_615	19773.14	18654.8	2
_h5_4226	25709.2	25329.27	61
_h5_4558	25939.5	25561.81	61
_h6_6	25173.26	20402.44	1228
_h5_3725	13626.99	11965.93	53255
_h6_1393	28517.56	22744.95	109891
_h6_693	15302.97	24957.58	122
_h5_3877	23026.71	31457.64	114333
_h5_4130	19754.09	18118.85	2
_h5_4657	20885.53	23042.03	187
_h6_7	17211.0	16010.99	27340
_h5_4869	6612.74	15593.95	122465
_h5_4441	22755.33	28000.09	74020
_h5_4456	21304.71	22964.24	187
_h5_4854	25386.4	17255.69	69293
_h5_4356	25564.57	16992.05	69293
_h6_1129	25068.15	18071.31	69293
_h6_1183	25184.1	17570.85	69293
_h5_4434	22400.1	23023.31	50084
_h6_281	37197.88	27778.61	7962
_h5_4438	24687.82	19534.66	1228
