id	x	y	group	color	size
_h5_4339	40941.59	31491.17	-1	ddd	10
_h5_4338	21056.16	22109.55	108	E5AA70	50
_h5_4310	21068.44	22111.88	108	E5AA70	50
_h6_202	19788.78	19469.33	166	AB4E52	50
_h5_4448	26105.74	23152.76	-1	ddd	10
_h5_3792	25639.63	25255.73	61	B48395	50
_h5_4347	25990.12	27071.19	1866	B284BE	50
_h5_4324	26082.69	23078.55	-1	ddd	10
_h5_4333	24759.44	19670.27	1228	7CB9E8	50
_h5_4365	24778.59	19709.1	1228	7CB9E8	50
_h5_4332	25233.34	20520.34	1228	7CB9E8	50
_h5_4209	25028.65	20208.59	1228	7CB9E8	50
_h5_4280	25208.2	20485.35	1228	7CB9E8	50
_h6_1462	44099.19	32199.54	84489	664423	50
_h5_4331	11868.81	24831.03	122	ACE1AF	50
_h6_1307	22672.2	28733.76	74020	FB607F	50
_h6_1222	42720.93	31616.44	84489	664423	50
_h5_4631	22372.78	23121.79	60	6F00FF	50
_h5_3684	18822.63	22192.57	205	555D50	50
_h5_4330	31926.38	22525.83	484	FBCCE7	50
_h6_1265	23489.6	21289.49	-1	ddd	10
_h5_4337	10941.42	24948.15	2873	72A0C1	50
_h5_3594	14201.67	24983.04	-1	ddd	10
_h6_979	17450.88	16316.82	27340	89CFF0	50
_h6_783	42227.26	30684.07	7962	FF033E	50
_h6_1194	16611.09	15176.15	27340	89CFF0	50
_h5_4378	10744.4	24948.04	2873	72A0C1	50
_h5_4336	29541.12	26233.29	61	B48395	50
_h5_3703	18392.26	22705.2	-1	ddd	10
_h5_3818	20880.63	12975.48	-1	ddd	10
_h5_3819	20818.39	12706.93	-1	ddd	10
_h5_4049	30838.29	22522.97	-1	ddd	10
_h6_1495	14562.04	13099.21	27340	89CFF0	50
_h6_1439	33751.31	18752.31	484	FBCCE7	50
_h5_3849	17413.3	16292.37	27340	89CFF0	50
_h5_3860	17188.18	16006.27	27340	89CFF0	50
_h5_4335	33823.92	26684.09	411	6495ED	50
_h6_1463	22012.95	11660.4	-1	ddd	10
_h5_4334	24479.69	24099.15	152	AA381E	50
_h5_4308	24309.34	24642.86	15	F7E98E	50
_h5_4724	18255.5	24496.79	28742	FF91AF	50
_h6_1169	18635.63	27876.55	-1	ddd	10
_h6_1127	23313.41	21279.42	-1	ddd	10
_h5_4730	24819.52	19749.59	1228	7CB9E8	50
_h5_4725	26151.96	23453.57	-1	ddd	10
_h5_4743	26152.66	23341.88	-1	ddd	10
_h5_4689	31770.44	21807.86	484	FBCCE7	50
_h5_4134	31691.6	21873.74	484	FBCCE7	50
_h5_4688	26328.66	25671.98	61	B48395	50
_h5_4720	16375.04	10934.84	-1	ddd	10
_h5_4700	15976.08	11290.56	-1	ddd	10
_h5_4721	22417.46	19312.89	301	CCFF00	50
_h5_4749	23161.78	18858.19	301	CCFF00	50
_h5_4722	21566.25	18284.82	-1	ddd	10
_h5_4638	23442.92	23583.36	60	6F00FF	50
_h5_4723	30796.57	25870.82	84	014421	50
_h6_1170	43139.55	30611.81	7962	FF033E	50
_h5_4620	31196.3	25959.24	84	014421	50
_h5_4642	31298.6	25991.62	84	014421	50
_h5_4741	30628.64	25860.02	84	014421	50
_h5_4745	30886.9	25886.38	84	014421	50
_h5_4779	31009.81	25913.08	84	014421	50
_h6_1221	15151.57	13854.75	27340	89CFF0	50
_h5_4644	26166.89	24092.92	-1	ddd	10
_h5_4682	33553.63	23661.78	-1	ddd	10
_h6_1418	6016.98	15997.13	-1	ddd	10
_h5_4680	30436.42	25877.44	84	014421	50
_h5_4735	30479.44	25871.19	84	014421	50
_h5_4687	33010.66	21434.69	484	FBCCE7	50
_h6_1192	15722.17	14301.18	27340	89CFF0	50
_h5_4685	18880.3	21677.94	205	555D50	50
_h5_4671	19021.46	21674.76	205	555D50	50
_h5_4684	41343.64	24722.22	-1	ddd	10
_h6_10	19788.66	18433.68	2	FF7F50	50
_h5_4236	20587.54	18427.66	-1	ddd	10
_h5_4690	12262.92	19525.75	79	8C92AC	50
_h5_4718	32757.97	12876.25	-1	ddd	10
_h6_747	19037.33	26890.94	-1	ddd	10
_h5_4467	19148.82	22342.24	205	555D50	50
_h6_885	48539.47	12696.17	-1	ddd	10
_h5_4805	22956.92	18658.6	301	CCFF00	50
_h5_4738	10373.33	13177.73	-1	ddd	10
_h6_778	26524.88	14204.75	-1	ddd	10
_h5_4861	40557.75	26235.61	-1	ddd	10
