id	x	y	group	color	size
_h5_4339	38691.69	31163.1	-1	ddd	10
_h5_4338	19964.71	21723.47	108	E5AA70	50
_h5_4310	19982.16	21738.16	108	E5AA70	50
_h6_202	17745.84	16585.87	2	FF7F50	50
_h5_4448	27422.43	26275.34	81	E0B582	50
_h5_3792	27639.41	26314.21	81	E0B582	50
_h5_4347	27250.56	26251.68	81	E0B582	50
_h5_4324	27338.24	26259.51	81	E0B582	50
_h5_4333	26085.57	23088.05	196	7E5E60	50
_h5_4365	26098.98	23132.3	196	7E5E60	50
_h5_4332	26178.84	24201.34	196	7E5E60	50
_h5_4209	26127.66	23989.05	196	7E5E60	50
_h5_4280	26168.82	24168.82	196	7E5E60	50
_h5_4302	26011.5	25619.72	152	AA381E	50
_h5_4331	15918.36	24700.82	145	A40000	50
_h5_3941	22316.51	27912.84	53	E75480	50
_h5_4116	22210.54	27634.09	53	E75480	50
_h5_4631	21384.36	24227.82	30635	FFE135	50
_h5_3684	19217.44	23395.24	137	543D37	50
_h5_4330	32274.09	22013.42	37854	FE6F5E	50
_h5_4669	37785.63	16776.46	-1	ddd	10
_h5_4337	14983.64	25144.71	28742	FF91AF	50
_h5_3594	15006.04	25129.48	28742	FF91AF	50
_h6_979	15019.84	13705.8	2	FF7F50	50
_h6_783	43516.12	31775.24	-1	ddd	10
_h5_4362	20345.16	21987.69	-1	ddd	10
_h5_4378	14773.19	25240.59	28742	FF91AF	50
_h5_4336	26316.5	24814.19	196	7E5E60	50
_h5_3703	19113.67	21941.18	108	E5AA70	50
_h5_3818	22447.94	15471.41	1228	7CB9E8	50
_h5_3819	22052.19	14885.57	58	F88379	50
_h5_4049	27814.27	23017.11	-1	ddd	10
_h5_4360	26307.45	24621.1	196	7E5E60	50
_h5_4487	26312.31	24857.38	196	7E5E60	50
_h5_3849	19702.51	19097.31	171	0072BB	50
_h5_3860	19730.48	18890.6	171	0072BB	50
_h5_4335	29734.36	26150.77	81	E0B582	50
_h5_4128	25478.61	25087.88	152	AA381E	50
_h5_4334	24111.71	23855.69	219	004B49	50
_h5_4308	23645.1	24179.36	15	F7E98E	50
_h5_4724	19101.25	20902.76	108	E5AA70	50
_h5_3731	14837.94	12485.82	-1	ddd	10
_h5_4715	19299.09	17877.4	-1	ddd	10
