id	x	y	group	color	size
_h5_4339	36755.18	30149.21	-1	ddd	10
_h5_4338	19284.48	21665.02	108	E5AA70	50
_h5_4310	19323.91	21663.03	108	E5AA70	50
_h6_202	15336.79	14095.85	2	FF7F50	50
_h5_4448	30892.82	25887.5	81	E0B582	50
_h5_3792	31013.0	25913.83	81	E0B582	50
_h5_4347	30597.19	25861.2	81	E0B582	50
_h5_4324	30793.43	25870.45	81	E0B582	50
_h5_4333	27382.82	23208.69	359	4F7942	50
_h5_4365	27542.58	23205.15	359	4F7942	50
_h5_4332	27919.64	26363.08	152	AA381E	50
_h5_4209	27620.06	26310.83	152	AA381E	50
_h5_4280	27877.8	26355.78	152	AA381E	50
_h5_4302	28183.03	26407.82	152	AA381E	50
_h5_4331	17919.15	25149.39	178	6C541E	50
_h5_3941	21528.08	27079.04	53	E75480	50
_h5_4116	21232.16	26957.82	-1	ddd	10
_h5_4631	20071.53	24493.59	-1	ddd	10
_h5_3684	17865.25	24923.47	178	6C541E	50
_h5_4330	33890.22	20633.86	407	B2FFFF	50
_h5_4669	36304.01	17078.05	-1	ddd	10
_h5_4337	18322.79	24462.96	137	543D37	50
_h5_3594	18370.25	24443.68	137	543D37	50
_h5_4036	19010.53	21685.04	108	E5AA70	50
_h5_4068	19180.58	23347.72	276	856088	50
_h5_4362	19532.93	21645.37	108	E5AA70	50
_h5_4378	18074.02	24544.8	137	543D37	50
_h5_4336	25817.7	21857.64	-1	ddd	10
_h5_3703	20510.57	19125.95	39	6C3082	50
_h5_3818	22311.1	18545.1	138	CC6666	50
_h5_3819	22475.75	18160.73	-1	ddd	10
_h5_4049	25791.14	22212.16	-1	ddd	10
_h5_4360	25807.21	21627.2	-1	ddd	10
_h5_4487	25815.11	21900.28	-1	ddd	10
_h5_3849	21039.72	18986.75	39	6C3082	50
_h5_3860	20834.94	19026.26	39	6C3082	50
_h5_4335	26379.9	25721.64	219	004B49	50
_h5_4128	26269.04	25594.0	219	004B49	50
_h5_4334	22676.74	23378.01	15	F7E98E	50
_h5_4308	22802.91	23411.99	15	F7E98E	50
_h5_4724	19785.77	18354.91	39	6C3082	50
_h5_3731	15496.2	13977.24	2	FF7F50	50
_h5_4715	18375.23	17404.63	-1	ddd	10
_h5_4730	19770.8	18100.71	39	6C3082	50
_h5_4725	22538.12	18601.57	138	CC6666	50
_h5_4743	22487.89	18533.18	138	CC6666	50
_h5_4689	35079.96	20037.63	346	FFBF00	50
_h5_4134	34880.76	20235.67	346	FFBF00	50
_h5_4688	27642.96	29112.86	-1	ddd	10
_h5_4720	20457.21	12009.32	281	555555	50
_h5_4700	20437.0	11816.06	281	555555	50
