id	x	y	group	color	size
_h5_4339	36033.82	30747.86	-1	ddd	10
_h5_4338	18738.18	21649.01	108	E5AA70	50
_h5_4310	18742.73	21654.09	108	E5AA70	50
_h6_202	14659.65	13207.69	-1	ddd	10
_h5_4448	32925.88	26558.54	81	E0B582	50
_h5_3792	32995.94	26575.98	81	E0B582	50
_h5_4347	32637.62	26487.42	81	E0B582	50
_h5_4324	32813.54	26533.46	81	E0B582	50
_h5_4333	28858.25	22747.37	359	4F7942	50
_h5_4365	29041.33	22793.3	359	4F7942	50
_h5_4332	29934.14	26073.16	152	AA381E	50
_h5_4209	29714.17	26177.54	152	AA381E	50
_h5_4280	29894.63	26093.25	152	AA381E	50
_h5_4302	30176.67	25957.76	152	AA381E	50
_h5_4331	18190.75	26527.06	178	6C541E	50
_h5_3941	20424.27	26482.1	53	E75480	50
_h5_4116	20060.95	26502.65	-1	ddd	10
_h5_4631	19273.1	25437.63	-1	ddd	10
_h5_3684	18020.84	26340.34	178	6C541E	50
_h5_4330	35174.55	19934.69	-1	ddd	10
_h5_4669	35525.39	18127.68	-1	ddd	10
_h5_4337	19186.51	22730.0	150	DE5285	50
_h5_3594	19176.73	22629.36	150	DE5285	50
_h5_4036	19152.11	21863.79	108	E5AA70	50
_h5_4068	19209.33	22964.77	150	DE5285	50
_h5_4362	19160.72	21883.35	108	E5AA70	50
_h5_4378	19213.6	23008.63	150	DE5285	50
_h5_4336	24949.59	20022.37	138	CC6666	50
_h5_3703	22611.73	18770.02	204	013220	50
_h5_3818	22939.2	18678.7	204	013220	50
_h5_3819	22618.24	18886.31	204	013220	50
_h5_4049	25086.44	20269.18	154	734F96	50
_h5_4360	24849.82	19813.67	138	CC6666	50
_h5_4487	24969.11	20060.39	138	CC6666	50
_h5_3849	23105.46	18657.81	204	013220	50
_h5_3860	22952.1	18675.72	204	013220	50
_h5_4335	26139.05	23955.57	219	004B49	50
_h5_4128	26179.47	24137.78	219	004B49	50
_h5_4334	21950.88	23522.68	15	F7E98E	50
_h5_4308	22099.42	23464.71	15	F7E98E	50
_h5_4724	18472.37	16920.06	170	0047AB	50
_h5_3731	15845.22	14605.04	171	0072BB	50
_h5_4715	17929.56	16927.03	170	0047AB	50
