id	x	y	group	color	size
_h5_4339	41351.24	31067.1	7962	FF033E	50
_h5_4338	21138.63	22150.01	108	E5AA70	50
_h5_4310	21140.08	22147.05	108	E5AA70	50
_h6_202	20514.43	19110.3	2	FF7F50	50
_h5_4448	25775.53	22140.27	1228	7CB9E8	50
_h5_3792	25492.64	25107.32	61	B48395	50
_h5_4347	25339.95	26729.2	-1	ddd	10
_h5_4324	25780.15	22078.87	1228	7CB9E8	50
_h5_4333	24231.89	19005.33	1228	7CB9E8	50
_h5_4365	24257.94	19025.65	1228	7CB9E8	50
_h5_4332	24732.57	19615.75	1228	7CB9E8	50
_h5_4209	24534.48	19304.43	1228	7CB9E8	50
_h5_4280	24712.48	19577.88	1228	7CB9E8	50
_h6_1462	43487.27	31763.51	7962	FF033E	50
_h5_4331	10798.93	24949.7	2873	72A0C1	50
_h6_1307	22617.38	28358.85	74020	FB607F	50
_h6_1222	41803.5	31149.27	7962	FF033E	50
_h5_4631	22328.18	22892.77	-1	ddd	10
_h6_1549	22046.58	12657.0	-1	ddd	10
_h5_4330	31956.5	23357.87	-1	ddd	10
_h6_1265	23773.51	21577.67	-1	ddd	10
_h5_4337	9901.16	24870.09	2873	72A0C1	50
_h5_3594	14540.72	24709.5	-1	ddd	10
_h6_979	18339.4	16887.93	27340	89CFF0	50
_h6_783	42868.39	30505.9	7962	FF033E	50
_h6_1194	17238.6	16044.13	27340	89CFF0	50
_h5_4378	9797.88	24869.96	2873	72A0C1	50
_h5_4336	30542.33	25844.79	84	014421	50
_h5_3703	18680.26	22688.33	-1	ddd	10
_h5_3818	20869.93	12649.15	-1	ddd	10
_h5_3819	21122.69	12512.03	-1	ddd	10
_h5_4049	31436.71	22014.11	484	FBCCE7	50
_h6_1495	14830.72	13467.03	27340	89CFF0	50
_h6_1439	33539.37	19093.6	484	FBCCE7	50
_h5_3849	16793.97	15451.35	27340	89CFF0	50
_h5_3860	16555.48	15140.15	27340	89CFF0	50
_h5_4335	34887.0	26699.76	411	6495ED	50
_h6_1463	22054.58	12598.47	-1	ddd	10
_h5_4334	24779.85	24472.18	-1	ddd	10
_h6_1611	27252.31	24334.02	-1	ddd	10
_h5_4724	17910.2	24976.22	-1	ddd	10
_h6_1169	18927.75	27767.56	-1	ddd	10
_h6_1127	23176.94	21562.4	-1	ddd	10
