id	x	y	group	color	size
_h6_2236	22649.51	24582.42	-1	ddd	10
_h6_4162	10468.38	14564.4	-1	ddd	10
_h6_4146	24405.26	18314.65	373636	F0F8FF	50
_h6_3946	13832.04	25340.81	294192	560319	50
_h5_4448	9856.21	11282.01	477731	B5A642	50
_h6_3837	24913.27	19948.14	373636	F0F8FF	50
_h6_3491	18001.45	26261.4	-1	ddd	10
_h5_4324	8259.45	13600.41	-1	ddd	10
_h6_4616	13809.92	20182.44	-1	ddd	10
_h5_4365	7248.01	12280.95	-1	ddd	10
_h6_5513	12023.85	9655.81	-1	ddd	10
_h6_4210	18541.31	15674.23	-1	ddd	10
_h6_5373	39291.59	16277.23	262965	FFD300	50
_h6_1462	26671.33	21660.36	-1	ddd	10
_h6_2133	38876.34	19597.75	-1	ddd	10
_h6_3756	19085.27	21675.71	268482	B8860B	50
_h6_1222	21821.41	18935.89	373636	F0F8FF	50
_h6_4466	19411.94	25713.32	-1	ddd	10
_h6_1549	8861.11	13966.4	-1	ddd	10
_h5_4330	22925.7	28060.66	-1	ddd	10
_h6_1265	37810.43	29318.82	-1	ddd	10
_h6_4070	11222.39	12699.43	365706	7CB9E8	50
_h6_1781	23730.79	19872.7	-1	ddd	10
_h6_4557	15537.62	13979.31	389804	008000	50
_h6_4482	19325.6	17267.84	389804	008000	50
_h6_2874	34766.88	26721.36	443801	3D0C02	50
_h6_2693	26123.11	23143.78	189638	8F00FF	50
_h6_4649	41508.12	31034.33	443801	3D0C02	50
_h6_2817	13855.12	12370.49	389804	008000	50
_h6_2629	39464.93	27699.24	-1	ddd	10
_h6_3076	14057.01	23697.82	-1	ddd	10
_h5_4049	44597.98	14502.16	-1	ddd	10
_h6_5424	44200.42	31093.21	-1	ddd	10
_h6_1439	23121.95	22033.64	268482	B8860B	50
_h6_2779	17787.95	24597.14	361920	E03C31	50
_h6_5475	20640.76	19813.25	-1	ddd	10
_h6_4252	22556.87	25889.37	-1	ddd	10
_h6_3486	35042.79	26713.18	443801	3D0C02	50
_h6_1925	25793.07	22120.19	189638	8F00FF	50
_h6_3931	34810.58	31123.95	-1	ddd	10
_h6_2470	22361.41	29056.83	-1	ddd	10
_h6_1169	27667.15	22666.23	-1	ddd	10
