id	x	y	group	color	size
_h6_2236	23918.85	25744.14	-1	ddd	10
_h6_4162	10264.49	14338.49	374677	E32636	50
_h6_4146	25450.87	17154.76	373636	F0F8FF	50
_h6_3946	12972.91	27454.65	-1	ddd	10
_h5_4448	12854.45	11483.74	-1	ddd	10
_h6_3837	22810.22	17313.9	100564	006B3C	50
_h6_3491	14623.54	25279.34	361920	E03C31	50
_h5_4324	12508.07	11404.68	217097	030507	50
_h6_4616	11056.42	19405.45	-1	ddd	10
_h5_4365	10958.65	13046.61	217097	030507	50
_h6_3752	19697.16	17629.48	268482	B8860B	50
_h6_4210	15328.07	14011.89	268482	B8860B	50
_h5_4280	10936.65	10931.78	-1	ddd	10
_h6_1462	26111.06	23868.06	189638	8F00FF	50
_h6_2133	39820.98	22258.47	-1	ddd	10
_h6_3756	18772.73	17006.8	268482	B8860B	50
_h6_1222	25770.41	22240.32	100564	006B3C	50
_h6_4466	18142.46	27696.73	-1	ddd	10
_h6_1549	11784.37	11584.62	217097	030507	50
_h5_4330	26407.43	28168.77	189638	8F00FF	50
_h6_1265	35177.57	26691.56	276789	8B008B	50
_h6_4070	8944.43	14015.81	365706	7CB9E8	50
_h6_1781	22513.88	18758.35	100564	006B3C	50
_h6_4557	14884.52	14731.04	-1	ddd	10
_h6_4482	14826.49	13448.46	268482	B8860B	50
_h6_2874	38111.34	28796.8	276789	8B008B	50
_h6_2693	23002.35	18650.02	100564	006B3C	50
_h5_4336	44798.14	30962.21	-1	ddd	10
_h6_2817	19491.38	10199.23	-1	ddd	10
_h6_2629	41839.35	24267.75	-1	ddd	10
_h6_3076	13780.23	25276.91	361920	E03C31	50
_h5_4049	40185.61	15953.2	-1	ddd	10
_h6_1495	25821.19	23202.68	100564	006B3C	50
_h6_1439	24179.2	22581.62	-1	ddd	10
_h6_2779	20279.62	19238.01	66505	CB4154	50
_h6_4349	22908.39	21765.13	367094	B284BE	50
_h6_4252	22589.75	28164.38	-1	ddd	10
_h6_3486	40062.73	29670.94	276789	8B008B	50
_h6_1925	21714.25	18925.68	100564	006B3C	50
_h6_3931	31433.47	32068.93	-1	ddd	10
_h6_2470	23622.99	28143.68	-1	ddd	10
_h6_1169	24816.13	19742.64	100564	006B3C	50
_h6_4467	11498.79	19634.57	-1	ddd	10
_h5_4730	35082.8	18489.17	-1	ddd	10
_h5_4725	31664.07	34678.44	-1	ddd	10
_h6_3338	13548.65	25447.69	361920	E03C31	50
_h6_3913	23538.56	20610.12	-1	ddd	10
_h6_2484	28863.22	22748.75	315574	704241	50
_h6_3753	28527.1	30096.33	-1	ddd	10
_h6_4617	14514.66	13067.58	268482	B8860B	50
_h6_3596	14391.26	25339.49	361920	E03C31	50
_h5_4721	14175.8	23767.43	-1	ddd	10
_h6_4487	11470.53	19626.45	-1	ddd	10
_h6_2946	33623.39	26680.99	196739	96C8A2	50
_h6_2441	19724.47	19053.78	66505	CB4154	50
_h5_4723	22009.72	23201.57	-1	ddd	10
_h6_1170	26243.85	24401.41	189638	8F00FF	50
_h6_2748	21109.88	21360.08	17609	4B5320	50
_h5_4642	18849.46	17041.37	268482	B8860B	50
_h6_2610	20264.57	12405.83	-1	ddd	10
_h6_2683	11514.43	12147.94	217097	030507	50
_h6_3880	41628.93	30934.08	-1	ddd	10
_h6_4225	29973.9	31741.02	-1	ddd	10
