id	x	y	group	color	size
_h6_2236	22522.4	24434.49	-1	ddd	10
_h6_4162	11136.74	15355.4	-1	ddd	10
_h6_4146	24197.24	18292.58	399708	7FFFD4	50
_h6_3946	14746.96	25232.45	294192	560319	50
_h5_4448	9501.08	11595.78	-1	ddd	10
_h6_3837	25649.21	21110.2	189638	8F00FF	50
_h6_3491	18799.02	26681.21	-1	ddd	10
_h5_4324	7610.94	14620.59	-1	ddd	10
_h6_4616	14766.23	20358.19	-1	ddd	10
_h5_4365	6960.92	11939.69	488287	F4BBFF	50
_h6_5513	11746.39	10003.33	-1	ddd	10
_h6_4210	19298.35	15077.04	-1	ddd	10
_h6_5373	38589.05	16163.38	262965	FFD300	50
_h6_1462	26242.87	20804.04	-1	ddd	10
_h6_2133	38333.1	18910.46	-1	ddd	10
_h6_3756	19223.21	23107.53	361920	E03C31	50
_h6_1222	20518.57	19126.3	361920	E03C31	50
_h6_4466	19409.46	24927.2	-1	ddd	10
_h6_1549	9227.75	13840.76	-1	ddd	10
_h5_4330	22906.87	28591.79	-1	ddd	10
_h6_1265	37845.61	29736.6	-1	ddd	10
_h6_4070	11678.99	11811.53	365706	7CB9E8	50
_h6_5545	23998.84	14747.31	-1	ddd	10
_h6_4557	15537.62	13979.31	389804	008000	50
_h6_4482	19785.07	18457.23	389804	008000	50
_h6_2874	33394.36	26650.57	276789	8B008B	50
_h6_2693	26136.75	23942.74	189638	8F00FF	50
_h6_4649	40894.34	30410.48	443801	3D0C02	50
_h6_2817	13699.25	12037.88	389804	008000	50
_h6_2629	38556.15	28257.26	-1	ddd	10
_h6_3076	13451.84	23226.17	-1	ddd	10
_h5_4049	45083.03	14527.98	-1	ddd	10
_h6_5424	43572.57	30762.52	-1	ddd	10
_h6_1439	23072.17	21997.7	268482	B8860B	50
_h6_2779	16398.19	24592.71	294192	560319	50
_h6_5475	20616.16	20099.41	-1	ddd	10
_h6_4252	22767.53	25409.77	-1	ddd	10
_h6_3486	33670.19	26686.9	276789	8B008B	50
_h6_1925	26152.75	23439.82	189638	8F00FF	50
_h6_3931	35331.38	31032.24	-1	ddd	10
_h6_2470	22239.33	29113.18	-1	ddd	10
_h6_5656	16882.05	22361.37	-1	ddd	10
_h6_4467	15645.62	20508.91	-1	ddd	10
_h5_4730	38861.15	16133.38	262965	FFD300	50
_h5_4725	31690.0	34706.46	-1	ddd	10
_h6_3338	19055.88	23873.49	361920	E03C31	50
_h6_3913	24455.38	18731.34	399708	7FFFD4	50
_h6_2484	25035.61	23053.87	478212	CB4154	50
_h6_3753	26689.82	26366.01	189638	8F00FF	50
_h6_4617	19654.98	17709.55	389804	008000	50
_h6_3596	19119.68	23494.91	361920	E03C31	50
_h5_4721	11584.46	23922.6	-1	ddd	10
_h6_4487	15652.14	20513.37	-1	ddd	10
_h6_2946	27935.59	26365.86	189638	8F00FF	50
_h6_2441	25073.92	20254.96	399708	7FFFD4	50
_h5_4723	19164.02	25146.73	-1	ddd	10
_h6_1170	24094.7	22404.63	-1	ddd	10
_h6_2748	21912.76	22092.38	17609	4B5320	50
_h5_4642	13388.67	11753.75	-1	ddd	10
_h6_5294	41133.78	30613.75	443801	3D0C02	50
_h6_2683	15668.16	14448.04	389804	008000	50
_h6_3880	36990.08	27535.33	443801	3D0C02	50
_h6_4225	26517.47	27460.14	189638	8F00FF	50
_h6_2881	30673.49	32075.67	-1	ddd	10
_h6_5410	21798.35	13610.56	-1	ddd	10
_h6_1418	21414.72	21322.64	268482	B8860B	50
_h5_4680	14436.53	15287.41	-1	ddd	10
_h6_5147	17108.52	15872.56	389804	008000	50
_h6_4724	22447.29	18435.76	399708	7FFFD4	50
_h6_5056	15828.07	13577.47	-1	ddd	10
_h5_4685	30409.21	32134.97	-1	ddd	10
_h6_5316	41747.39	31102.8	443801	3D0C02	50
_h5_4684	25766.87	21478.59	189638	8F00FF	50
_h6_4124	36728.82	25979.93	-1	ddd	10
_h6_4748	28182.53	29798.11	-1	ddd	10
_h6_2560	22201.46	27499.2	-1	ddd	10
_h6_2798	26295.7	24845.5	189638	8F00FF	50
_h6_5624	15132.06	13826.14	389804	008000	50
