id	x	y	group	color	size
_h5_4339	41300.54	31579.68	-1	ddd	10
_h5_4338	21417.48	22286.05	108	E5AA70	50
_h5_4310	21427.49	22284.94	108	E5AA70	50
_h6_202	22124.18	18867.96	301	CCFF00	50
_h5_4448	25228.13	20513.08	1228	7CB9E8	50
_h5_3792	25226.21	24843.56	61	B48395	50
_h5_4347	24390.15	26040.79	-1	ddd	10
_h5_4324	25199.8	20467.99	1228	7CB9E8	50
_h5_4333	22820.86	18709.61	301	CCFF00	50
_h5_4365	22862.3	18699.11	301	CCFF00	50
_h5_4332	23753.93	18743.07	301	CCFF00	50
_h5_4209	23419.04	18662.12	301	CCFF00	50
_h5_4280	23717.5	18730.51	301	CCFF00	50
_h6_1462	41898.18	31226.13	7962	FF033E	50
_h5_4331	9822.36	24970.99	-1	ddd	10
_h6_1307	22567.7	27780.12	74020	FB607F	50
_h6_1222	40643.18	30173.0	7962	FF033E	50
_h5_4631	22433.92	22311.45	50084	0000FF	50
_h6_1549	21439.42	13741.8	-1	ddd	10
_h5_4330	32553.76	24628.58	-1	ddd	10
_h6_1265	23765.38	21717.64	-1	ddd	10
_h5_4337	9863.44	25234.36	-1	ddd	10
_h6_1781	18131.35	27782.05	-1	ddd	10
_h6_979	19715.24	17870.05	2	FF7F50	50
_h6_783	42819.15	29661.01	-1	ddd	10
_h6_1194	18694.51	16978.07	27340	89CFF0	50
_h5_4378	9880.01	25313.8	-1	ddd	10
_h5_4336	32245.07	26346.9	411	6495ED	50
_h6_1703	15380.07	14050.44	27340	89CFF0	50
_h5_3818	21405.1	12300.13	-1	ddd	10
_h5_3819	21512.91	11993.94	-1	ddd	10
_h5_4049	32042.06	21960.49	-1	ddd	10
_h6_1495	15594.16	14380.6	27340	89CFF0	50
_h6_1439	32890.74	19313.68	-1	ddd	10
_h5_3849	15499.53	14308.36	27340	89CFF0	50
_h5_3860	15221.86	13963.9	27340	89CFF0	50
_h5_4335	36572.38	27081.16	-1	ddd	10
_h6_1463	21844.68	14350.43	-1	ddd	10
_h5_4334	24680.25	24991.98	152	AA381E	50
_h6_1611	26659.5	24013.76	-1	ddd	10
_h5_4724	17980.13	26188.6	-1	ddd	10
_h6_1169	19046.19	27092.58	-1	ddd	10
_h6_1127	23161.53	21899.73	50084	0000FF	50
_h5_4730	25795.01	22326.92	1228	7CB9E8	50
_h5_4725	26378.31	25490.15	61	B48395	50
_h5_4743	26352.52	25244.01	61	B48395	50
_h5_4689	29959.24	22780.53	484	FBCCE7	50
_h5_4134	29834.67	22754.34	484	FBCCE7	50
_h5_4688	26131.6	23475.74	1228	7CB9E8	50
_h5_4720	14036.29	12120.07	53255	A2A2D0	50
_h5_4700	13826.93	12440.41	53255	A2A2D0	50
_h5_4721	20983.28	18995.35	301	CCFF00	50
_h5_4749	22111.52	18926.41	301	CCFF00	50
_h5_4722	21637.95	17035.96	-1	ddd	10
_h5_4638	24133.73	23868.08	60	6F00FF	50
_h5_4723	28034.47	26383.11	84	014421	50
_h6_1170	41509.89	31008.78	7962	FF033E	50
_h5_4620	28456.18	26432.38	84	014421	50
_h5_4642	28649.65	26432.08	84	014421	50
_h5_4741	27868.1	26350.74	84	014421	50
_h5_4745	28122.9	26398.58	84	014421	50
_h5_4779	28253.68	26416.84	84	014421	50
_h6_1221	17067.27	15808.82	27340	89CFF0	50
_h5_4644	27087.99	26177.48	61	B48395	50
_h5_4682	32568.86	24838.9	-1	ddd	10
_h6_1418	6932.06	15254.56	122465	960018	50
_h5_4680	27776.16	26338.06	84	014421	50
_h5_4735	27819.12	26345.55	84	014421	50
_h5_4687	32009.12	21959.15	-1	ddd	10
_h6_1192	15199.81	14069.09	27340	89CFF0	50
_h5_4685	19062.61	21582.45	166	AB4E52	50
_h5_4671	19442.85	21656.23	166	AB4E52	50
_h5_4684	40406.64	26539.58	-1	ddd	10
_h6_10	20080.18	21083.29	-1	ddd	10
_h5_4236	21539.89	18146.44	-1	ddd	10
_h5_4690	12621.23	20947.16	-1	ddd	10
_h5_4718	34646.16	12134.16	-1	ddd	10
_h6_747	18046.78	26395.92	-1	ddd	10
_h5_4467	19178.25	23348.11	166	AB4E52	50
_h6_1533	6896.87	15284.85	122465	960018	50
_h5_4805	24832.59	19776.52	1228	7CB9E8	50
_h5_4738	8210.01	13658.06	-1	ddd	10
_h6_778	24816.8	14949.55	-1	ddd	10
_h5_4861	39609.45	27604.54	-1	ddd	10
_h6_156	21614.2	23525.25	-1	ddd	10
_h6_1605	30707.31	33284.55	-1	ddd	10
