id	x	y	group
_h5_4338	23931.75	24373.24	187
_h5_4310	23910.48	24358.27	187
_h5_4448	17286.15	16134.42	17609
_h5_3792	23984.0	23616.08	187
_h5_4324	17017.25	15760.88	17609
_h5_4333	14759.73	13378.84	246266
_h5_4365	14783.08	13415.47	246266
_h6_3752	15114.5	13806.49	246266
_h5_4280	15358.95	14144.41	246266
_h6_1462	30496.02	25862.41	189638
_h6_3756	14508.07	13057.92	246266
_h6_1222	28870.5	26414.45	189638
_h5_4330	27761.02	26335.42	189638
_h6_1265	28752.34	26408.02	189638
_h6_1781	19176.69	22816.01	107869
_h6_979	26272.69	24457.77	100564
_h6_2693	19016.96	17090.21	17609
_h5_4336	43288.07	30652.7	276789
_h6_2629	43931.55	23422.04	312821
_h5_4049	36939.71	16783.57	138195
_h6_1495	24683.87	19496.8	122
_h6_1439	27863.79	22990.17	100564
_h6_3486	43467.7	30725.82	276789
_h6_1925	19024.42	23937.7	107869
_h6_1611	23125.04	22023.42	187
_h6_2470	27325.34	28625.56	128570
_h6_1169	19978.09	19411.18	17609
_h6_1127	24088.96	23843.26	187
_h5_4721	13853.93	25219.71	59450
_h5_4749	13743.21	25436.9	59450
_h6_2946	39196.51	29336.99	276789
_h6_2441	16067.62	14734.86	17609
_h5_4723	23674.02	23668.65	187
_h6_1170	31192.23	25961.52	189638
_h6_2748	18790.27	17012.0	17609
_h5_4642	21539.68	18951.24	122
_h6_2683	7338.74	14903.7	217097
_h5_4779	22663.89	25624.84	297988
_h6_1221	22842.63	21586.51	187
_h5_4682	26544.01	26984.84	128570
_h6_1418	14823.79	13450.37	246266
_h5_4680	20609.19	19089.0	122
_h5_4735	23667.68	23666.28	187
_h5_4687	26148.44	25640.73	128570
_h5_4685	26250.76	24383.53	100564
_h5_4671	22402.49	23024.32	187
_h5_4684	35258.53	26706.79	196739
_h6_10	23397.55	21278.0	187
_h6_2560	15141.35	25042.72	59450
_h6_2798	38864.71	29225.77	276789
_h6_747	19397.6	17357.76	17609
_h6_1533	14812.01	13431.67	246266
_h5_4805	32026.2	26264.59	189638
_h6_778	21741.81	20225.68	122
_h5_4861	30902.37	25889.3	189638
_h6_156	24146.93	24244.93	187
_h6_2091	32924.01	26447.95	196739
_h6_615	26282.03	25104.21	100564
_h5_4226	23641.35	23656.8	187
_h6_3499	14901.69	13565.71	246266
_h6_6	25254.93	24870.34	128570
_h6_2013	17249.89	16060.02	17609
_h6_3287	23227.81	22130.17	187
_h6_138	20202.57	19265.52	17609
_h5_4447	21991.8	19721.44	122
_h5_4130	12147.84	10451.78	246266
_h5_4657	22075.27	23116.66	187
_h5_4446	25327.56	24935.67	128570
_h6_7	23727.69	15690.29	296452
_h5_4456	24139.37	23871.42	187
_h5_4714	19438.22	17394.39	17609
_h5_4854	21107.19	18757.56	122
_h5_4356	21589.55	18813.85	122
_h6_1129	19318.86	20219.07	17609
_h6_1183	20199.31	19283.23	17609
_h6_1485	11692.51	24843.29	163408
_h6_281	26131.07	25646.48	128570
_h5_4438	16335.12	14943.17	17609
_h6_3065	11191.95	24911.28	163408
_h6_1721	11939.16	11254.36	246266
_h5_4468	15218.46	25019.7	59450
_h5_4581	21998.11	22950.08	187
_h5_4453	23213.91	23583.88	187
_h5_4533	19019.03	17104.15	17609
_h5_4535	28626.08	26432.95	189638
_h6_1884	28335.5	22793.84	100564
_h6_2651	19725.7	17894.68	17609
_h5_4537	26554.05	26944.98	128570
_h5_4279	25491.77	25036.88	128570
_h6_1505	32549.29	24930.84	189638
_h6_1602	26642.25	27630.25	128570
_h6_761	26105.63	23750.76	100564
_h6_3443	42979.48	31655.7	317353
_h6_2291	19876.86	20825.29	17609
_h6_1801	13766.73	25363.1	59450
_h6_2805	18032.87	16582.73	17609
_h5_4433	22848.23	16721.48	122
_h5_4436	23878.12	24335.5	187
_h6_1484	24452.53	19181.39	122
_h6_1493	22953.3	21957.29	187
_h6_1321	22512.65	19209.91	122
_h6_1507	24940.01	20017.79	122
_h5_4672	23720.33	24222.82	187
_h6_3300	16185.39	14817.66	17609
_h6_1695	26724.49	26137.08	128570
_h6_3028	15183.08	13948.14	246266
_h5_4298	15441.27	14067.28	246266
_h6_1086	32534.1	24964.21	189638
_h6_908	23205.04	21368.68	187
_h6_1274	26236.38	24334.87	100564
_h6_2129	15193.69	13896.28	246266
_h5_4531	26745.23	26244.13	128570
_h5_4512	29331.61	22747.71	100564
_h6_1034	26414.95	23248.56	100564
_h6_1847	23148.6	21446.25	187
_h6_3038	25232.99	17417.93	256438
_h6_1855	36264.29	26905.29	196739
_h6_2128	21810.23	18919.73	122
_h6_1538	22993.47	20896.63	187
_h5_4138	25278.62	24888.15	128570
_h5_4065	24890.43	24698.17	187
_h6_1702	23424.49	18673.99	122
_h5_3793	22231.11	27473.38	6805
_h6_1214	13919.62	12298.83	246266
_h6_1994	10814.63	13088.19	246266
_h6_1604	19150.74	23410.14	107869
_h6_2031	17455.63	21105.67	66505
_h5_4457	35823.11	17895.69	179190
_h6_203	26134.25	23430.63	100564
_h6_2667	22028.55	33826.97	229603
_h6_1415	25352.93	20654.07	100564
_h6_2069	18634.63	24283.85	71609
_h6_1659	18112.99	16794.48	17609
_h6_1849	18996.65	23966.83	107869
_h6_2061	17327.53	21019.88	66505
_h6_1477	28631.11	22722.67	100564
_h6_1658	13759.79	25358.8	59450
_h6_2108	35066.6	26712.48	196739
_h6_1874	23161.84	21900.68	187
_h6_2654	19785.88	18330.74	17609
_h6_2127	17597.6	24591.76	71609
_h5_4830	23181.49	23526.31	187
_h5_4852	25188.09	25345.15	128570
_h5_4864	23203.35	23531.69	187
_h6_2018	35410.22	26703.62	196739
_h6_2354	23135.38	23498.03	187
_h6_944	25589.92	25203.95	128570
_h6_1152	13911.19	12292.95	246266
_h6_1413	14901.61	11395.02	282789
_h6_532	26933.29	28135.4	128570
_h6_1159	36278.0	16914.08	138195
_h6_1417	16577.14	24573.26	71609
_h6_2412	19649.48	19816.83	17609
_h5_4274	34927.35	20181.2	315574
_h6_1122	19260.47	21649.25	107869
_h6_710	29241.46	26958.24	189638
_h6_2180	19725.51	19698.58	17609
_h6_1145	19318.03	21663.32	107869
_h6_2160	19783.52	20633.47	17609
_h6_1886	19113.44	21938.11	107869
_h5_4461	19743.61	18793.9	17609
_h6_2451	19674.96	20208.52	17609
_h5_4161	23620.35	23649.35	187
_h6_1753	34652.43	26724.75	196739
_h6_1431	38168.12	28918.74	196739
_h6_1531	22941.6	21953.57	187
_h6_2977	41784.38	30866.34	276789
_h6_1885	26522.77	26984.27	128570
_h6_765	13615.98	25410.77	59450
_h6_545	24827.73	19773.93	122
_h6_1490	24040.07	31150.54	269979
_h5_4492	23598.43	23630.78	187
_h6_708	19854.94	17714.24	17609
_h5_4403	25353.91	24962.19	128570
_h6_2444	36856.53	27379.49	196739
_h5_4846	23210.32	23562.86	187
_h6_552	26196.44	24257.45	100564
_h6_3141	17817.31	16628.09	17609
_h6_1592	19117.94	22202.18	107869
_h6_3000	25021.32	23035.48	264362
_h5_4804	9876.38	26077.22	163408
_h5_4711	25036.58	23050.66	264362
_h6_2630	36878.76	27399.69	196739
_h6_2488	38925.8	29255.96	276789
_h6_3570	15138.6	13823.68	246266
_h6_922	22841.76	22705.57	187
_h6_2918	17162.79	15866.21	17609
_h6_963	21917.02	21998.66	187
_h5_4491	22543.27	23353.13	187
_h6_1135	31570.84	26091.56	189638
_h5_4391	19142.87	23445.65	107869
_h6_2663	19758.57	18040.97	17609
_h6_3459	25984.88	16086.97	295444
_h6_3375	9344.04	24891.21	163408
_h6_1189	22966.03	23454.2	187
_h6_2303	26894.45	28003.8	128570
_h6_2408	19725.44	19071.31	17609
_h5_4228	13171.32	11647.39	246266
