id	x	y	group	color	size
_h6_2236	26047.53	29197.83	-1	ddd	10
_h5_4338	23808.8	24286.1	187	F64A8A	50
_h5_4310	23788.24	24271.4	187	F64A8A	50
_h6_202	25923.56	19440.6	-1	ddd	10
_h5_4448	17519.56	16401.78	17609	4B5320	50
_h5_3792	23856.29	23546.83	187	F64A8A	50
_h6_3491	7770.39	24844.05	-1	ddd	10
_h5_4324	17227.0	16054.34	17609	4B5320	50
_h5_4333	14963.42	13659.57	-1	ddd	10
_h5_4365	14992.02	13691.65	-1	ddd	10
_h5_4332	21076.61	16326.66	-1	ddd	10
_h5_4209	23121.56	14817.74	-1	ddd	10
_h5_4280	15596.76	14399.91	17609	4B5320	50
_h6_1462	30842.6	25871.3	189638	8F00FF	50
_h6_2133	42198.26	26034.41	-1	ddd	10
_h6_1307	22702.22	25548.96	297988	177245	50
_h6_1222	29208.43	26354.39	189638	8F00FF	50
_h5_4631	24712.74	21022.33	-1	ddd	10
_h6_1549	16151.49	11184.51	-1	ddd	10
_h5_4330	27986.95	26374.82	189638	8F00FF	50
_h6_1265	28402.88	26411.21	189638	8F00FF	50
_h5_4337	6920.09	32167.25	-1	ddd	10
_h6_1781	19209.37	23168.79	107869	A67B5B	50
_h6_979	26201.63	24233.22	100564	006B3C	50
_h6_783	42617.33	23091.16	-1	ddd	10
_h6_2874	41022.55	24975.51	-1	ddd	10
_h6_2693	18687.28	16982.9	17609	4B5320	50
_h5_4336	43036.4	30565.13	-1	ddd	10
_h6_2817	20819.13	12724.47	-1	ddd	10
_h6_2629	44115.6	23263.38	312821	E9692C	50
_h6_3076	12825.54	27789.94	-1	ddd	10
_h5_4049	36821.62	16806.36	138195	EEDC82	50
_h6_1495	24513.81	19250.17	122	ACE1AF	50
_h6_1439	28098.88	22858.11	100564	006B3C	50
_h6_2779	22701.48	15923.86	-1	ddd	10
_h5_3860	8299.33	10693.5	-1	ddd	10
_h5_4335	44903.31	30865.59	-1	ddd	10
_h6_3486	43661.84	30792.78	-1	ddd	10
_h6_1925	18777.0	24189.06	107869	A67B5B	50
_h6_1611	23115.59	21953.49	187	F64A8A	50
_h6_2470	27464.72	28825.13	128570	99BADD	50
_h6_1169	19714.3	19641.98	17609	4B5320	50
_h6_1127	24000.38	23796.79	187	F64A8A	50
_h5_4730	32584.98	21787.12	-1	ddd	10
_h5_4725	30421.26	32152.55	-1	ddd	10
_h6_3338	11158.9	28230.81	-1	ddd	10
_h5_4689	25549.12	25705.78	128570	99BADD	50
_h6_2484	32108.21	21161.96	-1	ddd	10
_h5_4688	21807.95	19524.31	122	ACE1AF	50
_h5_4720	6521.19	15718.58	217097	030507	50
_h6_3596	7380.14	24893.87	-1	ddd	10
_h5_4721	13748.88	25298.78	59450	CC0000	50
_h5_4749	13874.04	25410.13	59450	CC0000	50
_h6_2946	39526.13	29429.14	276789	8B008B	50
_h6_2441	15783.68	14534.98	17609	4B5320	50
_h5_4723	23681.58	23671.47	187	F64A8A	50
_h6_1170	31527.84	26077.72	189638	8F00FF	50
_h6_2748	18457.7	16923.07	17609	4B5320	50
_h5_4642	21883.75	18930.37	122	ACE1AF	50
_h6_2610	18487.59	15741.15	-1	ddd	10
