id	x	y	group	color	size
_h6_2236	24828.41	26214.49	-1	ddd	10
_h6_4162	11101.98	15347.5	374677	E32636	50
_h6_4146	25972.59	16108.74	373636	F0F8FF	50
_h6_3946	13016.3	28436.24	-1	ddd	10
_h5_4448	13978.4	12435.42	268482	B8860B	50
_h6_3837	22573.33	15642.44	-1	ddd	10
_h6_3491	12938.2	25084.82	-1	ddd	10
_h5_4324	13784.96	12137.1	268482	B8860B	50
_h5_4333	14539.99	10763.63	-1	ddd	10
_h5_4365	11692.94	11824.29	-1	ddd	10
_h6_3752	18464.78	16918.09	268482	B8860B	50
_h6_4210	14817.82	13447.08	268482	B8860B	50
_h5_4280	12092.28	11303.48	-1	ddd	10
_h6_1462	26242.52	25279.64	189638	8F00FF	50
_h6_2133	40122.61	22986.0	-1	ddd	10
_h6_3756	17316.46	16158.03	268482	B8860B	50
_h6_1222	26110.15	23857.26	100564	006B3C	50
_h5_4631	25390.32	19490.81	-1	ddd	10
_h6_1549	13015.23	11526.69	-1	ddd	10
_h5_4330	26915.25	28016.96	189638	8F00FF	50
_h6_1265	33442.81	26641.3	196739	96C8A2	50
_h6_4070	8573.74	14600.21	365706	7CB9E8	50
_h6_1781	21213.18	18953.7	66505	CB4154	50
_h6_979	25647.9	25264.35	189638	8F00FF	50
_h6_783	44237.71	24041.23	-1	ddd	10
_h6_2874	39082.21	27924.28	-1	ddd	10
_h6_2693	21307.86	18944.29	66505	CB4154	50
_h5_4336	44893.45	30636.02	-1	ddd	10
_h6_2817	20215.24	10641.54	-1	ddd	10
_h6_2629	42499.51	23646.25	-1	ddd	10
_h6_3076	13298.21	25701.66	361920	E03C31	50
_h5_4049	39653.14	16165.19	-1	ddd	10
_h6_1495	26192.95	23363.78	100564	006B3C	50
_h6_1439	25005.46	23034.81	-1	ddd	10
_h6_2779	21674.07	18949.21	-1	ddd	10
_h6_4349	23166.37	21924.15	367094	B284BE	50
_h6_4252	22652.95	28624.65	-1	ddd	10
_h6_3486	41286.97	30740.62	276789	8B008B	50
_h6_1925	20052.24	19361.26	66505	CB4154	50
_h6_3931	30831.32	32193.99	-1	ddd	10
_h6_2470	24665.87	28729.25	269979	00416A	50
_h6_1169	23912.29	18787.01	100564	006B3C	50
_h6_1127	24448.01	23861.62	187	F64A8A	50
_h5_4730	35096.38	19613.44	138195	EEDC82	50
_h5_4725	31101.25	34325.33	-1	ddd	10
_h6_3338	13163.76	26038.32	361920	E03C31	50
_h6_3913	23230.31	21231.04	367094	B284BE	50
_h6_2484	30208.52	22831.79	315574	704241	50
_h6_3753	29225.0	31113.57	-1	ddd	10
_h5_4720	7199.79	17294.63	-1	ddd	10
_h6_3596	12690.72	24966.05	-1	ddd	10
_h5_4721	14652.46	24232.52	-1	ddd	10
_h5_4749	12893.0	27102.97	361920	E03C31	50
