id	x	y	group	color	size
_h6_2236	25670.19	28585.86	-1	ddd	10
_h5_4338	24051.55	24456.8	-1	ddd	10
_h5_4310	24046.2	24453.09	-1	ddd	10
_h6_202	26212.2	19911.9	-1	ddd	10
_h5_4448	16867.18	15549.0	17609	4B5320	50
_h6_3837	22091.62	12228.6	-1	ddd	10
_h6_3491	8808.26	24874.23	-1	ddd	10
_h5_4324	16599.42	15186.09	17609	4B5320	50
_h5_4333	14276.02	12889.31	246266	B31B1B	50
_h5_4365	14308.25	12918.96	246266	B31B1B	50
_h6_3752	15352.41	14110.5	268482	B8860B	50
_h5_4209	23381.06	15053.18	-1	ddd	10
_h5_4280	14923.77	13612.45	268482	B8860B	50
_h6_1462	29850.91	26108.06	189638	8F00FF	50
_h6_2133	42304.85	25503.26	-1	ddd	10
_h6_3756	14705.81	13267.62	268482	B8860B	50
_h6_1222	28184.63	26408.06	189638	8F00FF	50
_h5_4631	25159.42	20765.44	100564	006B3C	50
_h6_1549	15122.87	11378.97	-1	ddd	10
_h5_4330	27232.09	26248.54	189638	8F00FF	50
_h6_1265	29433.56	26271.75	189638	8F00FF	50
_h5_4337	7425.06	32002.24	-1	ddd	10
_h6_1781	19108.72	22106.24	107869	A67B5B	50
_h6_979	26283.26	25035.6	100564	006B3C	50
_h6_783	43137.42	23492.37	-1	ddd	10
_h6_2874	40691.1	25664.83	-1	ddd	10
_h6_2693	19552.15	17524.92	17609	4B5320	50
_h5_4336	43722.51	30798.84	276789	8B008B	50
_h6_2817	20570.4	12455.52	-1	ddd	10
_h6_2629	43421.11	23384.69	-1	ddd	10
_h6_3076	12975.06	27310.71	-1	ddd	10
_h5_4049	37385.23	16847.4	-1	ddd	10
_h6_1495	25004.3	20133.51	122	ACE1AF	50
_h6_1439	27415.58	23208.07	100564	006B3C	50
_h6_2779	22861.52	16946.11	122	ACE1AF	50
_h5_3860	8552.09	10448.26	-1	ddd	10
_h5_4335	45281.88	31108.23	-1	ddd	10
_h6_3486	42972.1	30553.07	276789	8B008B	50
_h6_1925	19219.61	23280.58	107869	A67B5B	50
_h6_1611	23345.69	22193.93	-1	ddd	10
_h6_2470	27033.54	28205.39	128570	99BADD	50
_h6_1169	20410.69	19154.15	17609	4B5320	50
_h6_1127	24090.11	23843.88	-1	ddd	10
_h5_4730	33073.23	21321.16	-1	ddd	10
_h5_4725	30611.96	32663.35	337156	1560BD	50
_h6_3338	11650.17	27596.8	-1	ddd	10
_h5_4689	25310.4	25424.98	128570	99BADD	50
_h6_2484	32088.32	21563.79	-1	ddd	10
_h6_3753	30628.02	33101.58	337156	1560BD	50
_h5_4720	6014.07	16331.04	-1	ddd	10
_h6_3596	8441.58	24829.63	-1	ddd	10
_h5_4721	14076.54	25054.73	59450	CC0000	50
_h5_4749	13480.12	25509.27	59450	CC0000	50
_h6_2946	38559.67	29080.21	196739	96C8A2	50
_h6_2441	16601.34	15164.18	17609	4B5320	50
_h5_4723	23526.38	23619.9	187	F64A8A	50
_h6_1170	30494.24	25869.29	189638	8F00FF	50
_h6_2748	19394.41	17338.09	17609	4B5320	50
