id	x	y	group	color	size
_h5_4339	40649.71	31888.34	-1	ddd	10
_h5_4338	20780.0	22001.22	108	E5AA70	50
_h5_4310	20794.13	22000.45	108	E5AA70	50
_h6_202	19737.35	18947.47	2	FF7F50	50
_h5_4448	26106.76	23795.09	-1	ddd	10
_h5_3792	25825.84	25451.34	61	B48395	50
_h5_4347	26324.93	27311.76	215	1E90FF	50
_h5_4324	26105.48	23744.83	-1	ddd	10
_h5_4333	25073.75	20285.16	1228	7CB9E8	50
_h5_4365	25096.63	20321.33	1228	7CB9E8	50
_h5_4332	25617.39	21090.88	1228	7CB9E8	50
_h5_4209	25417.76	20777.44	1228	7CB9E8	50
_h5_4280	25596.79	21053.71	1228	7CB9E8	50
_h5_4302	25620.0	24636.72	-1	ddd	10
_h5_4331	12569.96	24938.07	122	ACE1AF	50
_h6_1307	22888.97	28735.46	74020	FB607F	50
_h6_1222	43348.79	31718.65	84489	664423	50
_h5_4631	22282.61	23315.07	60	6F00FF	50
_h5_3684	18645.69	22183.85	-1	ddd	10
_h5_4330	31991.79	22095.1	484	FBCCE7	50
_h6_1265	23400.73	21300.82	60	6F00FF	50
_h5_4337	11633.26	24851.12	122	ACE1AF	50
_h5_3594	13896.33	25189.57	122	ACE1AF	50
_h6_979	17030.95	15763.41	27340	89CFF0	50
_h6_783	41812.57	30854.73	7962	FF033E	50
_h6_1194	16059.86	14729.66	27340	89CFF0	50
_h5_4378	11429.54	24884.95	122	ACE1AF	50
_h5_4336	28842.52	26399.7	61	B48395	50
_h5_3703	18361.66	22371.49	-1	ddd	10
_h5_3818	20936.92	13270.55	-1	ddd	10
_h5_3819	20878.15	12965.45	-1	ddd	10
_h5_4049	30353.97	22776.65	37854	FE6F5E	50
_h5_4360	25899.84	25290.32	61	B48395	50
_h5_4487	25551.05	25134.03	-1	ddd	10
_h5_3849	17949.23	16731.48	2	FF7F50	50
_h5_3860	17663.45	16536.66	2	FF7F50	50
_h5_4335	33119.83	26585.4	146	FFFDD0	50
_h5_4128	24877.5	24683.02	152	AA381E	50
_h5_4334	24185.15	23896.64	-1	ddd	10
_h5_4308	24158.61	24533.01	15	F7E98E	50
_h5_4724	18664.01	24289.15	187	F64A8A	50
_h6_1169	18376.53	27705.92	-1	ddd	10
_h6_1127	23401.32	21293.67	60	6F00FF	50
_h5_4730	24483.76	19210.66	1228	7CB9E8	50
_h5_4725	25961.29	22802.58	-1	ddd	10
_h5_4743	25906.29	22711.05	-1	ddd	10
_h5_4689	31935.89	21930.09	484	FBCCE7	50
_h5_4134	31934.61	21888.51	484	FBCCE7	50
_h5_4688	26560.32	25971.66	61	B48395	50
_h5_4720	16841.61	10404.16	-1	ddd	10
_h5_4700	16473.54	10793.77	-1	ddd	10
_h5_4721	22637.61	19159.84	1228	7CB9E8	50
_h5_4749	23489.42	18611.9	301	CCFF00	50
_h5_4722	21599.2	18766.37	1228	7CB9E8	50
_h5_4638	23245.97	23527.68	60	6F00FF	50
_h5_4723	31482.03	26059.86	84	014421	50
_h6_1170	43607.78	30774.79	7962	FF033E	50
_h5_4620	31857.92	26211.28	84	014421	50
_h5_4642	31937.85	26244.84	84	014421	50
_h5_4741	31323.61	26003.11	84	014421	50
_h5_4745	31569.24	26094.47	84	014421	50
_h5_4779	31683.7	26141.71	84	014421	50
_h6_1221	14804.48	13425.9	27340	89CFF0	50
_h5_4644	26144.68	23537.4	-1	ddd	10
_h5_4682	34085.28	23768.18	-1	ddd	10
_h6_1418	5949.34	16184.02	-1	ddd	10
_h5_4680	31117.8	25940.52	84	014421	50
_h5_4735	31159.7	25952.34	84	014421	50
_h5_4687	33278.1	21021.45	-1	ddd	10
_h6_1192	15315.57	14002.62	27340	89CFF0	50
_h5_4685	18620.35	21585.52	205	555D50	50
_h5_4671	18739.2	21649.37	205	555D50	50
_h5_4684	41575.52	24403.21	-1	ddd	10
_h6_10	19679.17	17749.37	2	FF7F50	50
_h5_4236	20238.65	18082.08	-1	ddd	10
_h5_4690	12478.77	19370.15	79	8C92AC	50
_h5_4718	32059.57	12746.04	-1	ddd	10
_h6_747	19061.69	27171.98	-1	ddd	10
_h5_4467	19086.48	21649.72	205	555D50	50
_h6_885	48224.34	12608.02	-1	ddd	10
_h5_4805	22292.45	18841.17	1228	7CB9E8	50
_h5_4738	10957.58	13047.23	-1	ddd	10
_h6_778	26692.57	13880.44	-1	ddd	10
_h5_4861	40656.91	25714.22	-1	ddd	10
_h6_156	20764.29	24048.62	-1	ddd	10
_h5_4668	18114.97	17740.21	-1	ddd	10
_h5_4845	17627.52	24594.13	28742	FF91AF	50
_h6_615	17866.87	16660.98	2	FF7F50	50
_h5_4445	27112.16	26224.71	61	B48395	50
_h5_4226	27050.23	26188.8	61	B48395	50
_h5_4558	27309.38	26253.25	61	B48395	50
_h6_6	23315.07	18634.33	301	CCFF00	50
_h5_4444	25556.88	14431.09	-1	ddd	10
_h5_3725	15572.14	14377.03	27340	89CFF0	50
_h5_4450	25180.37	23124.0	-1	ddd	10
_h6_1393	29603.62	23168.97	109891	A3C1AD	50
_h6_693	12282.09	24845.84	122	ACE1AF	50
_h5_3652	26440.52	28167.42	1866	B284BE	50
_h5_3877	22884.28	30226.44	-1	ddd	10
_h6_138	9901.7	25784.65	2873	72A0C1	50
_h5_4447	29917.3	22768.91	-1	ddd	10
_h5_4130	19146.28	20635.82	166	AB4E52	50
_h5_4657	19812.59	23233.97	187	F64A8A	50
_h5_4446	28886.85	20817.08	-1	ddd	10
_h6_7	15192.95	13900.8	27340	89CFF0	50
_h5_4869	8340.0	13519.96	-1	ddd	10
_h5_4441	21974.58	27476.02	-1	ddd	10
_h5_4456	20972.3	23025.19	137	543D37	50
_h5_4714	20766.59	26664.01	-1	ddd	10
_h5_4854	27007.03	16351.76	-1	ddd	10
_h5_4356	27340.43	16386.78	-1	ddd	10
_h6_1129	25666.07	16803.56	69293	C32148	50
_h6_1183	26013.65	16009.76	69293	C32148	50
_h5_4434	22269.31	22411.17	60	6F00FF	50
_h5_4729	23741.32	22391.29	-1	ddd	10
_h5_3661	22963.32	22416.93	60	6F00FF	50
_h6_281	39725.02	29494.44	7962	FF033E	50
_h5_4438	25775.42	22343.27	-1	ddd	10
_h5_3828	36088.64	20790.98	-1	ddd	10
_h5_4401	32338.94	26766.53	84	014421	50
_h5_4468	25773.58	22233.55	-1	ddd	10
_h5_4581	25035.08	23053.6	-1	ddd	10
_h5_4439	20070.34	21609.38	108	E5AA70	50
_h5_4453	20101.75	21838.91	108	E5AA70	50
_h5_4533	26192.3	23364.44	-1	ddd	10
