id	x	y	group	color	size
_h5_4339	41363.4	31467.63	-1	ddd	10
_h5_4338	21336.41	22250.23	108	E5AA70	50
_h5_4310	21337.86	22247.27	108	E5AA70	50
_h6_202	21911.12	18908.8	301	CCFF00	50
_h5_4448	25435.32	20802.46	1228	7CB9E8	50
_h5_3792	25306.32	24918.97	61	B48395	50
_h5_4347	24591.31	26110.97	-1	ddd	10
_h5_4324	25407.21	20756.66	1228	7CB9E8	50
_h5_4333	23164.56	18653.34	301	CCFF00	50
_h5_4365	23207.16	18651.67	301	CCFF00	50
_h5_4332	23989.04	18848.34	1228	7CB9E8	50
_h5_4209	23736.14	18736.88	1228	7CB9E8	50
_h5_4280	23959.78	18832.77	1228	7CB9E8	50
_h6_1462	42190.75	31418.87	7962	FF033E	50
_h5_4331	9709.77	24935.47	-1	ddd	10
_h6_1307	22579.09	27912.84	74020	FB607F	50
_h6_1222	40902.4	30417.69	7962	FF033E	50
_h5_4631	22368.73	22420.28	50084	0000FF	50
_h6_1549	21768.16	13779.22	-1	ddd	10
_h5_4330	32477.63	24346.49	-1	ddd	10
_h6_1265	23792.13	21636.29	-1	ddd	10
_h5_4337	9852.58	25072.97	-1	ddd	10
_h6_1781	18192.24	27918.99	-1	ddd	10
_h6_979	19566.3	17546.28	2	FF7F50	50
_h6_783	42898.09	29926.88	-1	ddd	10
_h6_1194	18351.16	16884.58	27340	89CFF0	50
_h5_4378	9853.32	25125.79	-1	ddd	10
_h5_4336	31909.17	26214.72	411	6495ED	50
_h6_1703	15209.94	13915.23	27340	89CFF0	50
_h5_3818	21352.04	12402.6	-1	ddd	10
_h5_3819	21464.18	12127.79	-1	ddd	10
_h5_4049	32001.69	21951.45	-1	ddd	10
_h6_1495	15375.85	14145.56	27340	89CFF0	50
_h6_1439	33013.76	19262.95	-1	ddd	10
_h5_3849	15761.22	14541.05	27340	89CFF0	50
_h5_3860	15443.04	14242.86	27340	89CFF0	50
_h5_4335	36273.65	26889.72	411	6495ED	50
_h6_1463	21786.21	13996.74	-1	ddd	10
_h5_4334	24608.44	24879.14	152	AA381E	50
_h6_1611	26715.11	24041.5	-1	ddd	10
_h5_4724	17940.66	25949.31	-1	ddd	10
_h6_1169	19059.76	27246.72	-1	ddd	10
_h6_1127	23155.74	21881.59	-1	ddd	10
_h5_4730	25810.34	21973.75	1228	7CB9E8	50
_h5_4725	26372.13	25252.87	61	B48395	50
_h5_4743	26283.66	25015.52	61	B48395	50
_h5_4689	30227.5	22828.87	484	FBCCE7	50
_h5_4134	30112.6	22830.32	484	FBCCE7	50
_h5_4688	26105.75	23755.59	1228	7CB9E8	50
_h5_4720	14226.84	11881.43	-1	ddd	10
_h5_4700	13939.59	12251.51	53255	A2A2D0	50
_h5_4721	21286.88	18963.33	301	CCFF00	50
_h5_4749	22312.41	19008.18	301	CCFF00	50
_h5_4722	21455.08	17081.47	-1	ddd	10
_h5_4638	24133.59	23867.99	60	6F00FF	50
_h5_4723	28392.29	26429.05	84	014421	50
_h6_1170	41677.59	30913.92	7962	FF033E	50
_h5_4620	28812.35	26420.66	84	014421	50
_h5_4642	28992.44	26397.79	84	014421	50
_h5_4741	28222.1	26413.27	84	014421	50
_h5_4745	28479.48	26433.11	84	014421	50
_h5_4779	28610.01	26433.25	84	014421	50
