id	x	y	group	color	size
_h6_2236	25880.59	30231.56	-1	ddd	10
_h5_4338	23379.53	23951.31	-1	ddd	10
_h5_4310	23360.45	23932.19	187	F64A8A	50
_h6_202	25334.89	18736.17	256438	DC143C	50
_h5_4448	18732.24	17007.78	17609	4B5320	50
_h5_3792	23432.39	23465.67	187	F64A8A	50
_h6_3491	6968.26	24948.31	-1	ddd	10
_h5_4324	18334.5	16895.61	17609	4B5320	50
_h5_4333	15918.55	14656.95	17609	4B5320	50
_h5_4365	15954.29	14681.72	17609	4B5320	50
_h5_4332	21254.35	16890.5	298766	918151	50
_h5_4209	22905.68	14463.63	-1	ddd	10
_h5_4280	16657.86	15263.65	17609	4B5320	50
_h6_1462	32095.49	26306.3	189638	8F00FF	50
_h6_2133	42368.51	26550.45	-1	ddd	10
_h6_1307	22923.34	25068.92	297988	177245	50
_h6_1222	30233.42	25932.18	189638	8F00FF	50
_h5_4631	24142.9	21210.79	-1	ddd	10
_h6_1549	17167.11	10197.43	-1	ddd	10
_h5_4330	29328.25	26319.97	189638	8F00FF	50
_h6_1265	27032.86	26159.84	128570	99BADD	50
_h5_4337	7017.98	31463.33	-1	ddd	10
_h6_1781	18554.43	24333.57	107869	A67B5B	50
_h6_979	26146.87	23266.81	100564	006B3C	50
_h6_783	42396.38	23265.11	-1	ddd	10
_h6_2874	41586.08	24328.48	-1	ddd	10
_h6_2693	17476.16	16344.02	17609	4B5320	50
_h5_4336	42164.78	30706.22	276789	8B008B	50
_h6_2817	20938.11	13277.71	-1	ddd	10
_h6_2629	45013.72	22715.58	-1	ddd	10
_h6_3076	13085.43	28651.98	-1	ddd	10
_h5_4049	36281.42	16872.34	138195	EEDC82	50
_h6_1495	23606.61	18681.48	122	ACE1AF	50
_h6_1439	29159.95	22794.89	100564	006B3C	50
_h6_2779	21988.52	14728.12	-1	ddd	10
_h5_3860	8680.78	10963.92	-1	ddd	10
_h5_4335	44460.0	31197.53	-1	ddd	10
_h6_3486	44228.28	31112.9	-1	ddd	10
_h6_1925	17513.78	24591.18	107869	A67B5B	50
_h6_1611	23199.62	21971.39	50084	0000FF	50
_h6_2470	27977.46	29651.06	-1	ddd	10
_h6_1169	19093.07	20855.33	107869	A67B5B	50
_h6_1127	23294.47	23541.09	187	F64A8A	50
_h5_4730	32105.09	21971.55	-1	ddd	10
_h5_4725	29785.97	31582.26	186065	00FF00	50
_h6_3338	10629.22	28577.25	293307	E9967A	50
_h5_4689	25993.1	25609.11	128570	99BADD	50
_h6_2484	31945.39	20552.71	-1	ddd	10
_h5_4688	21970.93	19744.4	-1	ddd	10
_h5_4720	7383.92	14888.8	-1	ddd	10
_h5_4700	9417.29	12313.69	-1	ddd	10
_h5_4721	13949.97	25398.41	71609	1974D2	50
_h5_4749	14748.05	25250.06	71609	1974D2	50
_h6_2946	40654.43	30183.98	196739	96C8A2	50
_h6_2441	14988.1	13660.48	183922	FF003F	50
_h5_4723	24172.5	23901.15	-1	ddd	10
_h6_1170	32830.58	26534.23	189638	8F00FF	50
_h6_2748	17333.66	16179.93	17609	4B5320	50
_h5_4642	23238.57	18651.41	122	ACE1AF	50
_h6_2610	18187.22	16578.88	17609	4B5320	50
_h6_2683	6325.51	16007.6	217097	030507	50
_h5_4779	22948.93	25059.76	297988	177245	50
_h6_1221	22285.27	21351.48	50084	0000FF	50
