id	x	y	group	color	size
_h5_4339	39854.49	31836.17	-1	ddd	10
_h5_4338	20318.73	21913.7	108	E5AA70	50
_h5_4310	20319.62	21910.53	108	E5AA70	50
_h6_202	19590.75	17579.15	2	FF7F50	50
_h5_4448	26294.97	24824.17	152	AA381E	50
_h5_3792	26362.11	25764.39	152	AA381E	50
_h5_4347	26525.41	27058.66	215	1E90FF	50
_h5_4324	26298.69	24743.04	152	AA381E	50
_h5_4333	25760.79	21466.42	-1	ddd	10
_h5_4365	25770.06	21508.28	-1	ddd	10
_h5_4332	25791.94	22437.77	152	AA381E	50
_h5_4209	25781.03	22070.55	152	AA381E	50
_h5_4280	25783.67	22395.39	152	AA381E	50
_h5_4302	25867.33	25006.15	152	AA381E	50
_h5_4331	13914.24	25389.79	28742	FF91AF	50
_h5_3941	22608.87	27418.41	-1	ddd	10
_h6_1222	44348.14	32347.96	84489	664423	50
_h5_4631	21865.9	23584.15	30635	FFE135	50
_h5_3684	18913.23	21876.63	205	555D50	50
_h5_4330	32034.85	21966.08	37854	FE6F5E	50
_h5_4669	37773.15	17128.64	-1	ddd	10
_h5_4337	12972.94	25117.17	122	ACE1AF	50
_h5_3594	13734.96	25437.76	28742	FF91AF	50
_h6_979	16100.61	14764.88	2	FF7F50	50
_h6_783	41706.04	31094.91	84489	664423	50
_h6_1194	15148.62	13840.88	-1	ddd	10
_h5_4378	12781.38	25024.41	122	ACE1AF	50
_h5_4336	27422.31	26255.4	152	AA381E	50
_h5_3703	18821.09	21931.09	205	555D50	50
_h5_3818	21708.42	13785.7	-1	ddd	10
_h5_3819	21053.31	13592.8	-1	ddd	10
_h5_4049	29369.22	22737.97	-1	ddd	10
_h5_4360	26031.3	25629.4	152	AA381E	50
_h5_4487	25819.51	25439.16	152	AA381E	50
_h5_3849	19245.11	17230.37	2	FF7F50	50
_h5_3860	18968.52	17082.81	2	FF7F50	50
_h5_4335	31760.77	26149.75	84	014421	50
_h5_4128	25217.86	24836.29	152	AA381E	50
_h5_4334	24140.91	23868.49	-1	ddd	10
_h5_4308	24013.61	24430.51	15	F7E98E	50
_h5_4724	19213.78	23010.53	187	F64A8A	50
_h6_1169	18233.89	28096.62	-1	ddd	10
_h6_1127	23421.77	21419.2	-1	ddd	10
_h5_4730	23544.19	18663.94	1228	7CB9E8	50
_h5_4725	25782.16	21477.39	-1	ddd	10
_h5_4743	25768.59	21419.42	-1	ddd	10
