id	x	y	group	color	size
_h6_2236	23331.49	25224.06	-1	ddd	10
_h6_4162	9393.3	13368.25	374677	E32636	50
_h6_4146	25066.38	18015.53	373636	F0F8FF	50
_h6_3946	12671.26	26622.69	-1	ddd	10
_h5_4448	11028.2	10966.96	217097	030507	50
_h6_3837	22938.12	18660.01	100564	006B3C	50
_h6_3491	16909.9	24548.59	361920	E03C31	50
_h5_4324	11320.18	12554.31	217097	030507	50
_h6_4616	11929.04	19612.38	-1	ddd	10
_h5_4365	9011.99	13296.48	365706	7CB9E8	50
_h6_3752	20956.76	18658.18	100564	006B3C	50
_h6_4210	16740.56	15308.87	389804	008000	50
_h5_4280	9919.51	10739.2	217097	030507	50
_h6_1462	26705.48	23221.97	202830	7FFF00	50
_h6_2133	39582.29	21505.04	-1	ddd	10
_h6_3756	19741.87	18909.39	268482	B8860B	50
_h6_1222	24932.16	20029.99	100564	006B3C	50
_h6_4466	18972.14	27663.24	-1	ddd	10
_h6_1549	10617.88	13129.29	-1	ddd	10
_h5_4330	25107.17	28494.15	-1	ddd	10
_h6_1265	37244.54	27815.14	-1	ddd	10
_h6_4070	8388.08	13423.83	365706	7CB9E8	50
_h6_1781	23145.75	19767.36	100564	006B3C	50
_h6_4557	15507.21	14010.87	389804	008000	50
_h6_4482	16216.54	14835.09	389804	008000	50
_h6_2874	38049.43	28676.76	-1	ddd	10
_h6_2693	24649.62	19434.04	100564	006B3C	50
_h6_4649	43941.75	30867.35	-1	ddd	10
_h6_2817	17108.45	10225.11	-1	ddd	10
_h6_2629	40782.05	25340.24	-1	ddd	10
_h6_3076	14584.99	24681.7	439168	967117	50
_h5_4049	41455.05	15479.35	-1	ddd	10
_h6_1495	25188.49	23378.14	-1	ddd	10
_h6_1439	23772.47	22396.18	367094	B284BE	50
_h6_2779	19074.49	21190.85	66505	CB4154	50
_h6_4349	22829.87	21659.55	367094	B284BE	50
_h6_4252	22645.91	27249.43	-1	ddd	10
_h6_3486	38178.11	28790.36	-1	ddd	10
_h6_1925	24036.26	18850.27	100564	006B3C	50
_h6_3931	33223.76	32102.06	-1	ddd	10
_h6_2470	22879.49	28348.83	-1	ddd	10
_h6_1169	25815.75	21889.69	189638	8F00FF	50
_h6_4467	12474.97	19603.22	-1	ddd	10
_h5_4730	36192.89	17233.24	-1	ddd	10
_h5_4725	31609.79	35607.27	-1	ddd	10
_h6_3338	14589.09	25286.54	361920	E03C31	50
_h6_3913	23579.47	20239.85	-1	ddd	10
_h6_2484	27143.51	23216.02	202830	7FFF00	50
_h6_3753	27435.38	28783.12	189638	8F00FF	50
_h6_4617	15415.43	14192.4	389804	008000	50
_h6_3596	16674.17	24549.95	361920	E03C31	50
_h5_4721	13143.92	23060.03	-1	ddd	10
_h6_4487	12456.31	19594.81	-1	ddd	10
_h6_2946	31989.16	26269.14	196739	96C8A2	50
_h6_2441	20682.85	19050.77	100564	006B3C	50
_h5_4723	21337.39	23780.01	17609	4B5320	50
_h6_1170	25709.79	23209.26	189638	8F00FF	50
_h6_2748	21866.51	21346.44	17609	4B5320	50
_h5_4642	16957.18	15681.77	268482	B8860B	50
_h6_2610	20435.06	11363.44	-1	ddd	10
_h6_2683	12389.45	11359.7	217097	030507	50
_h6_3880	41131.02	30615.76	-1	ddd	10
_h6_4225	28825.56	30537.77	-1	ddd	10
_h6_2881	28120.8	29748.54	-1	ddd	10
_h5_4682	25962.63	30396.56	-1	ddd	10
_h6_1418	19763.09	18758.38	268482	B8860B	50
_h5_4680	16353.53	14957.21	389804	008000	50
_h5_4735	21591.82	22429.9	-1	ddd	10
_h6_4724	21851.94	13320.34	-1	ddd	10
_h6_1192	5553.22	12130.16	-1	ddd	10
_h5_4685	27776.88	29378.78	-1	ddd	10
_h5_4671	24063.07	24464.78	17609	4B5320	50
_h5_4684	26931.29	26143.87	189638	8F00FF	50
_h6_4124	38897.4	24444.69	-1	ddd	10
_h6_4748	30565.75	32504.33	-1	ddd	10
_h6_2560	19757.49	26592.12	-1	ddd	10
_h6_2798	30722.41	25856.74	196739	96C8A2	50
_h6_747	13164.23	11638.86	217097	030507	50
_h6_3814	9906.99	25506.16	294192	560319	50
_h6_1533	19769.31	18699.12	268482	B8860B	50
