id	x	y	group	color	size
_h6_2236	26734.74	32690.38	-1	ddd	10
_h5_4338	22535.16	23339.85	187	F64A8A	50
_h5_4310	22509.28	23333.67	187	F64A8A	50
_h6_202	24385.5	18304.7	149492	9EFD38	50
_h5_4448	19614.74	19925.59	122	ACE1AF	50
_h5_3792	23850.01	23738.23	-1	ddd	10
_h5_4347	22590.18	25920.92	-1	ddd	10
_h5_4324	19594.99	19819.42	122	ACE1AF	50
_h5_4333	19079.86	17131.74	27340	89CFF0	50
_h5_4365	19120.58	17152.63	-1	ddd	10
_h5_4332	21616.31	19207.74	122	ACE1AF	50
_h5_4209	21785.7	14163.53	222951	965A3E	50
_h5_4280	19693.08	17839.2	27340	89CFF0	50
_h6_1462	36183.62	26866.94	7962	FF033E	50
_h6_2133	42312.81	28518.13	-1	ddd	10
_h6_1307	22857.16	25246.56	-1	ddd	10
_h6_1222	34282.56	26722.36	7962	FF033E	50
_h5_4631	23397.55	21278.0	-1	ddd	10
_h6_1549	20230.57	10675.26	-1	ddd	10
_h5_4330	32110.88	26319.2	189638	8F00FF	50
_h6_1265	26205.12	23301.16	484	FBCCE7	50
_h5_4337	7552.69	29348.14	-1	ddd	10
_h6_1781	17986.66	26246.08	-1	ddd	10
_h6_979	24641.14	19420.58	484	FBCCE7	50
_h6_783	42245.67	25866.54	-1	ddd	10
_h6_2874	41357.22	22565.98	-1	ddd	10
_h6_2693	15007.94	13692.52	17609	4B5320	50
_h5_4336	39101.68	29292.28	196739	96C8A2	50
_h6_2817	22054.52	11860.97	222951	965A3E	50
_h6_2629	47281.62	21023.55	-1	ddd	10
_h5_3819	24370.8	11168.55	-1	ddd	10
_h5_4049	34854.24	19050.56	-1	ddd	10
_h6_1495	19865.38	19465.34	122	ACE1AF	50
_h6_1439	31949.18	21784.38	100564	006B3C	50
_h6_2779	20899.44	13011.49	222951	965A3E	50
_h5_3860	10372.93	10788.35	-1	ddd	10
_h5_4335	42238.52	30675.87	196739	96C8A2	50
_h6_1463	22985.47	20688.24	-1	ddd	10
_h6_1925	13509.21	25311.58	107869	A67B5B	50
_h6_1611	24132.24	22469.54	-1	ddd	10
_h6_2470	29969.05	31737.25	53	E75480	50
_h6_1169	18252.25	24468.46	2873	72A0C1	50
_h6_1127	22543.34	22993.72	187	F64A8A	50
_h5_4730	30902.06	22489.45	100564	006B3C	50
_h5_4725	27817.26	29444.33	53	E75480	50
_h5_4743	24609.72	24675.06	-1	ddd	10
_h5_4689	26290.31	24536.04	484	FBCCE7	50
_h6_2484	32933.51	19293.13	-1	ddd	10
_h5_4688	22466.33	18947.48	122	ACE1AF	50
_h5_4720	10119.6	13301.75	-1	ddd	10
_h5_4700	9965.59	10842.24	-1	ddd	10
_h5_4721	17536.93	24608.76	2873	72A0C1	50
_h5_4749	18806.24	24183.82	2873	72A0C1	50
_h5_4722	24236.73	15188.42	-1	ddd	10
_h6_2441	14519.95	11161.65	208596	856088	50
_h5_4723	25477.91	25087.16	411	6495ED	50
_h6_1170	36868.86	27388.48	7962	FF033E	50
_h6_2748	14894.61	13556.56	17609	4B5320	50
_h5_4642	25679.34	21219.39	484	FBCCE7	50
_h6_2610	15902.62	14440.12	17609	4B5320	50
_h6_2683	6845.34	17011.4	-1	ddd	10
_h5_4779	24635.9	26126.59	-1	ddd	10
_h6_1221	20683.02	21375.34	50084	0000FF	50
_h6_2881	22523.7	25973.2	-1	ddd	10
_h5_4682	30887.8	25886.55	189638	8F00FF	50
_h6_1418	11657.82	11871.76	122465	960018	50
_h5_4680	25180.69	20440.93	484	FBCCE7	50
_h5_4735	25473.74	25082.79	411	6495ED	50
_h5_4687	27128.74	23216.49	484	FBCCE7	50
_h6_1192	11486.85	12238.67	122465	960018	50
_h5_4685	24516.72	19253.61	484	FBCCE7	50
_h5_4671	21140.08	22147.05	-1	ddd	10
_h5_4684	38315.03	28907.78	196739	96C8A2	50
_h6_10	22846.08	21587.93	-1	ddd	10
_h5_4236	24412.89	15228.0	-1	ddd	10
_h6_2560	9290.93	24891.71	59450	CC0000	50
_h6_2798	43962.99	32080.52	-1	ddd	10
_h6_747	19159.36	22634.83	2873	72A0C1	50
_h5_4467	20819.13	23868.87	393	007BA7	50
_h6_1533	11632.01	11925.62	122465	960018	50
_h5_4805	26449.51	25816.85	411	6495ED	50
_h6_2463	30789.73	33691.55	186065	00FF00	50
_h6_778	21310.86	17460.57	-1	ddd	10
_h5_4861	36666.57	27183.21	7962	FF033E	50
_h6_156	24122.29	23861.57	-1	ddd	10
_h6_2091	31926.44	23091.09	-1	ddd	10
_h5_4845	22748.06	17485.2	122	ACE1AF	50
_h6_615	25098.42	20288.67	484	FBCCE7	50
_h5_4445	23080.49	25124.01	-1	ddd	10
_h5_4226	24254.32	23955.73	-1	ddd	10
_h5_4558	24540.55	24774.84	-1	ddd	10
_h6_6	25751.58	25368.91	411	6495ED	50
_h5_4444	30594.28	12522.99	-1	ddd	10
_h5_3725	8405.75	13496.28	-1	ddd	10
_h6_2013	14567.78	13104.49	17609	4B5320	50
_h6_1393	26121.5	25646.75	411	6495ED	50
_h6_693	19522.55	19857.25	122	ACE1AF	50
_h5_3652	30542.38	32861.82	186065	00FF00	50
_h5_3877	21998.58	34080.99	-1	ddd	10
_h6_138	18317.64	24446.65	2873	72A0C1	50
_h5_4447	24473.78	19231.72	484	FBCCE7	50
_h5_4130	14151.29	12743.05	17609	4B5320	50
_h5_4657	21706.29	22859.79	187	F64A8A	50
_h5_4446	26367.45	25475.78	411	6495ED	50
_h6_7	21527.94	18108.23	-1	ddd	10
_h5_4869	6931.25	18300.55	-1	ddd	10
_h5_4441	23658.62	29316.3	-1	ddd	10
_h5_4456	22787.77	23407.91	187	F64A8A	50
_h5_4714	19174.33	22791.29	2873	72A0C1	50
_h5_4854	21932.01	17098.15	-1	ddd	10
_h5_4356	22772.44	17674.9	122	ACE1AF	50
_h6_1129	22657.16	19151.11	122	ACE1AF	50
_h6_1183	23486.0	18615.39	122	ACE1AF	50
_h5_4434	24199.64	23904.14	-1	ddd	10
_h5_4729	26386.44	25306.64	411	6495ED	50
_h6_1485	14932.8	26433.37	-1	ddd	10
_h6_281	29797.92	26137.43	189638	8F00FF	50
_h5_4438	19708.44	19052.86	122	ACE1AF	50
_h5_3828	39614.18	18172.45	-1	ddd	10
_h6_1721	8528.52	13368.01	-1	ddd	10
_h5_4468	19114.24	21980.38	122	ACE1AF	50
_h5_4581	23093.69	22010.6	-1	ddd	10
_h6_2788	30578.0	33039.12	186065	00FF00	50
_h5_4453	22400.65	23023.54	187	F64A8A	50
_h5_4533	21110.88	18977.88	122	ACE1AF	50
_h6_2836	30646.0	33118.92	186065	00FF00	50
_h5_4535	34153.57	26722.37	7962	FF033E	50
_h6_1884	32002.98	21958.3	100564	006B3C	50
_h6_2651	15319.11	14073.23	17609	4B5320	50
_h6_1839	22752.09	28028.45	-1	ddd	10
_h5_3879	14599.89	24672.45	-1	ddd	10
_h5_4537	30935.82	25896.4	189638	8F00FF	50
_h5_4279	26299.92	24567.0	484	FBCCE7	50
_h6_1505	32001.99	21903.64	100564	006B3C	50
_h6_1602	24941.52	28611.19	128570	99BADD	50
_h6_761	29813.85	26126.13	189638	8F00FF	50
_h5_4102	21599.23	11748.51	222951	965A3E	50
_h5_4431	20263.27	23269.31	393	007BA7	50
_h5_3930	35963.83	26784.52	7962	FF033E	50
_h6_2291	17313.91	16149.44	17609	4B5320	50
_h6_1801	9880.34	25343.78	59450	CC0000	50
_h6_2805	14855.03	13490.08	17609	4B5320	50
_h6_1893	18251.04	16385.06	17609	4B5320	50
_h5_4433	19743.4	19613.45	122	ACE1AF	50
_h5_4436	22356.41	23291.15	187	F64A8A	50
_h6_1484	19700.11	19279.01	122	ACE1AF	50
_h5_4059	21949.49	27472.0	-1	ddd	10
_h6_1493	22987.7	20622.81	-1	ddd	10
_h6_1321	24418.18	18315.65	149492	9EFD38	50
_h5_4013	26651.19	27631.6	-1	ddd	10
_h6_1507	20355.92	19180.24	122	ACE1AF	50
_h5_4666	31321.87	22241.13	100564	006B3C	50
_h5_4672	22329.13	23269.56	187	F64A8A	50
_h5_4676	13293.31	27547.72	-1	ddd	10
_h5_4678	21938.88	27470.04	-1	ddd	10
_h6_1695	27396.92	28728.05	53	E75480	50
_h5_4437	24274.62	24620.52	-1	ddd	10
_h5_3766	40321.17	20765.12	-1	ddd	10
_h5_4298	18910.49	17061.54	27340	89CFF0	50
_h5_4871	29392.22	31270.06	53	E75480	50
_h6_1086	33013.93	26579.97	189638	8F00FF	50
_h6_908	21805.07	21260.4	50084	0000FF	50
_h6_769	33113.26	21278.13	100564	006B3C	50
_h6_1274	24511.05	19241.81	484	FBCCE7	50
_h6_2129	11986.71	11180.97	183922	FF003F	50
_h5_4037	21775.54	24409.59	-1	ddd	10
_h5_4531	25791.86	22141.46	484	FBCCE7	50
_h5_4512	25813.31	21930.05	484	FBCCE7	50
_h6_1034	28804.57	21148.02	-1	ddd	10
_h5_3932	21136.8	23833.74	-1	ddd	10
_h6_1847	22750.85	17534.1	122	ACE1AF	50
_h6_709	36591.31	35075.45	-1	ddd	10
_h5_3953	22298.82	22768.65	187	F64A8A	50
_h6_1543	19656.12	19812.53	122	ACE1AF	50
_h6_1855	40851.94	30371.92	196739	96C8A2	50
_h6_325	27786.74	23039.12	484	FBCCE7	50
_h6_2128	18438.35	16910.74	17609	4B5320	50
_h6_1538	24421.94	19140.39	484	FBCCE7	50
_h5_4138	25889.68	25533.14	411	6495ED	50
_h6_2670	11643.37	19631.24	66505	CB4154	50
_h5_4065	24433.11	24063.39	-1	ddd	10
_h6_1702	24945.92	18427.84	149492	9EFD38	50
_h5_3793	22590.76	25810.25	-1	ddd	10
_h6_1214	11009.07	12990.3	-1	ddd	10
_h6_1994	6808.72	15361.98	-1	ddd	10
_h6_644	11288.44	17461.25	-1	ddd	10
_h6_1604	19498.28	20016.44	122	ACE1AF	50
_h5_3815	9131.13	10912.03	-1	ddd	10
_h6_2031	13735.36	20158.92	-1	ddd	10
_h5_4457	33729.68	20692.57	-1	ddd	10
_h6_203	29365.23	26308.79	189638	8F00FF	50
_h6_1190	11519.29	12177.24	122465	960018	50
_h5_4853	6852.71	18966.35	-1	ddd	10
_h6_2667	21549.41	35747.6	229603	DA8A67	50
_h6_1415	20889.74	18996.86	122	ACE1AF	50
_h6_2445	13468.09	34352.43	-1	ddd	10
_h6_2069	12835.85	25031.45	71609	1974D2	50
_h5_4568	32411.65	26214.06	189638	8F00FF	50
_h5_4578	5263.83	25211.52	-1	ddd	10
_h6_1659	15438.83	14074.39	17609	4B5320	50
_h6_1849	18179.55	26520.7	-1	ddd	10
_h6_1956	9866.13	26944.17	-1	ddd	10
_h6_2061	13510.69	20072.97	-1	ddd	10
_h6_1477	31989.38	21650.32	100564	006B3C	50
_h6_1732	21627.34	18926.94	122	ACE1AF	50
_h6_2497	37447.55	25281.77	-1	ddd	10
_h6_1567	25390.25	19462.22	-1	ddd	10
_h6_1314	39831.23	27542.31	-1	ddd	10
_h6_1658	9870.19	25300.96	59450	CC0000	50
_h6_2108	39955.91	29603.48	196739	96C8A2	50
_h6_2166	16872.7	15495.39	17609	4B5320	50
_h6_1414	25161.08	14691.32	145930	228B22	50
_h6_2532	16399.31	14968.89	17609	4B5320	50
_h5_4519	22678.3	28752.7	-1	ddd	10
_h6_1874	22758.05	19454.45	122	ACE1AF	50
_h5_4354	32413.18	25505.31	189638	8F00FF	50
_h6_1730	17113.43	12382.98	-1	ddd	10
_h6_2654	15686.71	14463.85	17609	4B5320	50
_h6_2127	12122.54	24822.38	71609	1974D2	50
_h5_4830	22200.44	22804.47	187	F64A8A	50
_h5_4852	26322.06	25548.48	411	6495ED	50
_h5_4864	22240.39	22904.26	187	F64A8A	50
_h6_984	10331.3	13199.41	-1	ddd	10
_h6_2920	33899.22	18540.61	-1	ddd	10
_h6_2018	39864.56	29559.37	196739	96C8A2	50
_h6_2354	21422.35	24135.12	-1	ddd	10
_h5_3883	38056.26	16499.02	-1	ddd	10
_h6_944	26060.88	22981.3	484	FBCCE7	50
_h6_1519	43495.84	23404.22	-1	ddd	10
_h6_1152	18912.67	10133.34	-1	ddd	10
_h6_1413	20007.94	10207.15	-1	ddd	10
_h6_532	24371.45	29996.92	128570	99BADD	50
_h6_1159	34932.13	20171.96	-1	ddd	10
_h6_1144	22991.17	21802.41	-1	ddd	10
_h6_1228	19078.49	21115.36	122	ACE1AF	50
_h6_1417	19137.62	20720.39	122	ACE1AF	50
_h5_3555	44692.23	31001.49	-1	ddd	10
_h6_2412	16930.34	15616.13	17609	4B5320	50
_h6_2305	37219.34	25712.01	-1	ddd	10
_h5_4274	32045.77	21961.14	100564	006B3C	50
_h6_1479	30236.8	28981.66	-1	ddd	10
_h6_1122	17879.17	21246.42	122	ACE1AF	50
_h6_710	26249.88	24368.9	484	FBCCE7	50
_h5_4084	23413.06	23993.93	-1	ddd	10
_h5_4118	27442.55	28776.14	53	E75480	50
_h6_2180	16988.0	15691.57	17609	4B5320	50
_h6_1145	17821.39	21230.0	122	ACE1AF	50
_h5_4158	23458.99	24035.36	-1	ddd	10
_h6_1468	39383.63	27766.5	-1	ddd	10
_h6_2160	17198.0	15998.4	17609	4B5320	50
_h6_1886	19482.59	17427.03	27340	89CFF0	50
_h5_4461	23053.99	18659.7	122	ACE1AF	50
_h6_2451	16976.35	15686.58	17609	4B5320	50
_h5_4161	24317.82	23996.8	-1	ddd	10
_h6_2357	9521.04	20908.3	-1	ddd	10
_h6_1753	39349.44	29378.14	196739	96C8A2	50
_h6_1431	40640.58	25736.59	-1	ddd	10
_h6_1531	22929.73	20886.63	-1	ddd	10
_h5_3648	25394.18	25564.4	-1	ddd	10
_h6_1885	27888.3	29557.77	53	E75480	50
_h6_765	18337.36	24457.04	2873	72A0C1	50
_h6_1197	11874.69	26097.86	-1	ddd	10
_h5_4613	28597.39	23554.73	-1	ddd	10
_h6_545	19912.05	19467.4	122	ACE1AF	50
_h6_1490	22986.7	32598.52	-1	ddd	10
_h6_1878	6748.97	18156.77	-1	ddd	10
_h5_4492	22366.42	23009.13	187	F64A8A	50
_h6_708	19056.06	21360.72	122	ACE1AF	50
_h5_4403	26383.71	25429.68	411	6495ED	50
_h6_2444	41487.26	30884.53	196739	96C8A2	50
_h5_4846	22277.96	22948.66	187	F64A8A	50
_h6_552	29951.98	26064.08	189638	8F00FF	50
_h5_4810	25851.96	25545.73	411	6495ED	50
_h5_4773	22690.37	23381.68	187	F64A8A	50
_h6_501	36299.78	16953.44	179190	F0EAD6	50
_h6_1592	17894.09	25504.33	2873	72A0C1	50
_h5_4765	15135.04	12843.61	-1	ddd	10
_h6_2864	44207.78	31097.74	196739	96C8A2	50
_h5_4804	12085.11	24836.74	71609	1974D2	50
_h5_4711	27366.1	22896.87	484	FBCCE7	50
_h6_2630	41512.05	30911.42	196739	96C8A2	50
_h5_3918	21400.31	12313.57	222951	965A3E	50
_h6_2488	42510.56	30500.92	196739	96C8A2	50
_h6_907	32392.36	26213.59	189638	8F00FF	50
_h5_4520	23646.49	24180.37	-1	ddd	10
_h6_922	23165.18	21911.16	-1	ddd	10
_h5_3890	9389.96	13190.79	-1	ddd	10
_h6_2918	14730.28	13309.08	17609	4B5320	50
_h5_4567	12084.94	27472.92	-1	ddd	10
_h6_963	21855.08	21333.98	50084	0000FF	50
_h5_4491	23753.61	23698.26	-1	ddd	10
_h6_1135	37120.93	27691.76	7962	FF033E	50
_h5_4391	19912.03	19485.03	122	ACE1AF	50
_h5_4455	24391.38	31330.99	-1	ddd	10
_h5_3952	15851.37	30184.89	-1	ddd	10
_h5_3976	11861.85	31930.89	-1	ddd	10
_h6_2202	39187.72	20557.02	-1	ddd	10
_h5_4353	31746.39	21815.47	100564	006B3C	50
_h5_3956	24410.12	24045.75	-1	ddd	10
_h6_2663	15514.34	14296.25	17609	4B5320	50
_h5_3957	31823.72	35297.51	-1	ddd	10
_h5_3717	31781.66	35336.25	-1	ddd	10
_h6_2311	7064.68	25982.06	-1	ddd	10
_h5_3954	45017.6	30766.34	-1	ddd	10
_h6_945	21920.46	10947.73	-1	ddd	10
_h6_1189	21129.38	24356.04	-1	ddd	10
_h6_2303	29364.58	31257.82	53	E75480	50
_h6_2706	30521.42	32400.19	53	E75480	50
_h6_2408	16230.63	14853.01	17609	4B5320	50
_h5_4101	19260.95	21649.64	122	ACE1AF	50
_h6_2660	22993.63	31301.88	-1	ddd	10
_h5_4228	17018.91	15768.94	17609	4B5320	50
_h6_695	18743.36	21673.65	122	ACE1AF	50
_h6_1227	14915.29	25159.94	107869	A67B5B	50
_h6_764	21621.74	11722.23	222951	965A3E	50
_h6_1236	34502.5	26726.89	7962	FF033E	50
_h6_949	31048.4	25918.92	189638	8F00FF	50
_h6_838	30571.94	25858.84	189638	8F00FF	50
_h6_603	13180.56	26021.38	71466	FF007F	50
_h5_3946	20354.92	23145.17	393	007BA7	50
_h6_814	21990.1	21701.39	50084	0000FF	50
_h6_569	19156.05	23372.66	2873	72A0C1	50
_h6_2409	21878.09	14456.8	222951	965A3E	50
_h5_4011	24248.11	24601.21	-1	ddd	10
_h6_837	33438.01	26656.77	7962	FF033E	50
_h6_1487	8957.42	13299.96	-1	ddd	10
_h5_4357	21859.13	19175.91	122	ACE1AF	50
_h5_4367	23680.57	23671.1	-1	ddd	10
_h5_4384	23710.46	23681.74	-1	ddd	10
_h5_4756	23242.77	22153.2	-1	ddd	10
_h6_2237	16836.92	15478.98	17609	4B5320	50
_h5_4717	25785.15	22383.93	484	FBCCE7	50
_h5_4697	25528.36	25139.82	411	6495ED	50
_h6_2289	40540.08	30067.83	196739	96C8A2	50
_h6_226	9820.54	26550.86	-1	ddd	10
_h5_4157	36313.02	17019.81	179190	F0EAD6	50
_h5_3582	36303.15	17089.73	179190	F0EAD6	50
_h5_3970	12042.23	24833.94	71609	1974D2	50
_h5_3994	13381.03	11743.15	183922	FF003F	50
_h5_4023	11793.53	24834.04	71609	1974D2	50
_h5_4281	13338.12	11705.79	183922	FF003F	50
_h6_1838	41361.18	30798.21	196739	96C8A2	50
_h6_2913	11143.16	19458.78	66505	CB4154	50
_h6_627	28982.3	26399.34	189638	8F00FF	50
_h6_634	9272.09	28592.74	-1	ddd	10
_h6_2306	17491.99	16355.95	17609	4B5320	50
_h6_2678	43126.53	31674.39	-1	ddd	10
_h6_2282	13886.53	12790.32	17609	4B5320	50
_h5_4195	18997.69	17095.04	-1	ddd	10
_h6_2290	17507.29	16367.32	17609	4B5320	50
_h5_4328	18950.35	17076.07	27340	89CFF0	50
_h5_4154	27700.97	26304.64	411	6495ED	50
_h5_4100	21552.93	11886.13	222951	965A3E	50
_h6_2012	13702.34	20147.14	-1	ddd	10
_h6_2485	47005.11	12637.58	-1	ddd	10
_h6_1181	12907.88	27190.12	-1	ddd	10
_h6_2810	14984.0	13655.91	17609	4B5320	50
_h5_3977	32075.96	34997.24	-1	ddd	10
_h6_1503	31970.72	21957.05	100564	006B3C	50
_h6_677	20967.51	23029.48	-1	ddd	10
_h5_4005	16262.65	14889.94	17609	4B5320	50
_h6_2203	18332.01	16073.08	17609	4B5320	50
_h5_4245	21894.76	22885.37	187	F64A8A	50
_h5_4459	14674.94	25276.61	107869	A67B5B	50
_h6_2733	14947.25	13617.76	17609	4B5320	50
_h5_3617	25171.64	25323.17	-1	ddd	10
_h6_2284	42715.79	29346.75	-1	ddd	10
_h6_1655	27344.74	28653.33	53	E75480	50
_h6_2081	30796.51	22556.12	100564	006B3C	50
_h5_4095	29283.15	20344.18	-1	ddd	10
_h6_214	20966.4	23026.34	-1	ddd	10
_h5_4174	23529.43	24093.41	-1	ddd	10
_h6_466	26627.1	25995.42	411	6495ED	50
_h5_4340	15004.52	31558.66	-1	ddd	10
_h5_4498	25111.43	28490.0	128570	99BADD	50
_h5_4712	25904.3	22707.28	484	FBCCE7	50
_h6_2508	5279.4	16040.19	217097	030507	50
_h6_2414	32892.78	19312.51	-1	ddd	10
_h5_4855	26006.86	22895.11	484	FBCCE7	50
_h5_4809	25661.58	25278.6	411	6495ED	50
