id	x	y	group	color	size	metadata
_h6_2236	22531.58	15540.46	-1	000	10	regular
_h6_4162	11046.25	24701.36	-1	000	10	regular
_h6_4146	24250.93	21699.57	399708	7FFFD4	30	regular
_h6_3946	14621.31	14723.42	294192	560319	30	regular
_h5_4448	9534.25	28456.57	-1	000	10	regular
_h6_3837	25580.97	19010.63	-1	000	10	regular
_h6_3491	18706.12	13305.62	-1	000	10	regular
_h5_4324	7674.16	25481.05	-1	000	10	regular
_h6_4616	14670.62	19657.65	-1	000	10	regular
_h5_4365	6973.39	28018.98	-1	000	10	regular
_h6_5513	11787.1	30025.77	-1	000	10	regular
_h6_4210	19213.63	24873.34	-1	000	10	regular
_h6_5373	38693.43	23862.78	262965	FFD300	30	regular
_h6_1462	26296.04	19113.74	-1	000	10	regular
_h6_2133	38389.58	21021.99	-1	000	10	regular
_h6_3756	19206.11	17034.17	361920	E03C31	30	regular
_h6_1222	20648.26	20920.66	361920	E03C31	30	regular
_h6_4466	19324.08	15023.39	-1	000	10	regular
_h6_1549	9182.26	26167.11	-1	000	10	regular
_h5_4330	22898.92	11471.8	-1	000	10	regular
_h6_1265	37806.21	10299.74	-1	000	10	regular
_h6_4070	11644.37	28098.28	365706	7CB9E8	30	regular
_h6_5545	23996.55	25305.93	-1	000	10	regular
_h6_4557	15537.62	26020.69	389804	008000	30	regular
_h6_4482	19789.16	21665.88	389804	008000	30	regular
_h6_2874	33531.16	13330.67	276789	8B008B	30	regular
_h6_2693	26128.51	16121.69	189638	8F00FF	30	regular
_h6_4649	40999.77	9495.22	443801	3D0C02	30	regular
_h6_2817	13764.48	27889.81	365706	7CB9E8	30	regular
_h6_2629	38632.36	11818.62	-1	000	10	regular
_h6_3076	13515.24	16698.81	-1	000	10	regular
_h5_4049	45102.01	25365.88	-1	000	10	regular
_h6_5424	43644.41	9212.66	-1	000	10	regular
_h6_1439	23072.17	18002.3	268482	B8860B	30	regular
_h6_2779	16536.19	15423.21	294192	560319	30	regular
_h6_5475	20674.94	19909.61	-1	000	10	regular
_h6_4252	22741.69	14543.18	-1	000	10	regular
_h6_3486	33808.2	13299.32	276789	8B008B	30	regular
_h6_1925	26150.15	16696.05	189638	8F00FF	30	regular
