id	x	y	group	color	size
_h6_2236	25488.28	27649.01	128570	99BADD	50
_h5_4338	24106.76	24495.71	187	F64A8A	50
_h5_4310	24089.68	24483.24	187	F64A8A	50
_h6_3946	13606.11	29404.43	350112	EC3B83	50
_h5_4448	15830.01	14589.81	268482	B8860B	50
_h6_3837	21925.2	13093.58	-1	ddd	10
_h6_3491	10199.28	24873.14	-1	ddd	10
_h5_4324	15495.85	14294.97	268482	B8860B	50
_h5_4333	14021.99	12109.42	246266	B31B1B	50
_h5_4365	13546.76	11893.66	246266	B31B1B	50
_h6_3752	16439.9	15007.45	268482	B8860B	50
_h5_4209	23183.33	14673.6	-1	ddd	10
_h5_4280	14042.11	12554.41	246266	B31B1B	50
_h6_1462	28513.45	26430.72	189638	8F00FF	50
_h6_2133	41735.4	24522.9	-1	ddd	10
_h6_3756	15417.77	14195.12	268482	B8860B	50
_h6_1222	26824.83	26101.26	189638	8F00FF	50
_h5_4631	25824.15	20376.55	-1	ddd	10
_h6_1549	14042.29	12112.27	246266	B31B1B	50
_h5_4330	26625.39	26673.93	189638	8F00FF	50
_h6_1265	30745.93	25842.99	189638	8F00FF	50
_h5_4337	6924.85	31102.27	-1	ddd	10
_h6_1781	19139.94	20646.91	17609	4B5320	50
_h6_979	26183.64	25632.48	189638	8F00FF	50
_h6_783	43931.6	23418.6	-1	ddd	10
_h6_2874	40361.75	26676.91	-1	ddd	10
_h6_2693	19748.44	18853.92	17609	4B5320	50
_h5_4336	44306.63	31136.44	276789	8B008B	50
_h6_2817	20420.46	12132.2	-1	ddd	10
_h6_2629	42733.89	23239.56	-1	ddd	10
_h6_3076	12765.77	26789.44	-1	ddd	10
_h5_4049	38224.14	16359.52	-1	ddd	10
_h6_1495	25744.22	21349.23	100564	006B3C	50
_h6_1439	26422.12	23244.84	100564	006B3C	50
_h6_2779	22492.43	18183.95	122	ACE1AF	50
_h5_3860	8845.86	10036.77	-1	ddd	10
_h5_4335	45828.99	32047.83	-1	ddd	10
_h6_3486	42107.74	30736.82	276789	8B008B	50
_h6_1925	19082.57	21819.28	17609	4B5320	50
_h6_3931	30568.74	33024.02	-1	ddd	10
_h6_2470	26158.74	28125.58	128570	99BADD	50
_h6_1169	21714.37	18925.67	122	ACE1AF	50
_h6_1127	24124.71	23859.15	-1	ddd	10
_h5_4730	33766.27	20674.43	315574	704241	50
_h5_4725	30713.57	33312.34	-1	ddd	10
_h6_3338	11955.06	27150.11	-1	ddd	10
_h6_3913	23168.46	21921.59	187	F64A8A	50
_h6_2484	31891.49	21774.14	315574	704241	50
_h6_3753	30437.73	32249.74	-1	ddd	10
_h5_4720	6309.5	16616.68	-1	ddd	10
_h6_3596	9867.28	24850.68	-1	ddd	10
_h5_4721	14567.35	24692.78	-1	ddd	10
_h5_4749	13225.33	25943.33	59450	CC0000	50
_h6_2946	37530.77	28163.14	196739	96C8A2	50
_h6_2441	17424.01	16277.09	268482	B8860B	50
_h5_4723	22824.04	23425.38	187	F64A8A	50
_h6_1170	29172.6	26362.46	189638	8F00FF	50
_h6_2748	19780.3	18507.53	17609	4B5320	50
_h5_4642	19677.73	19707.28	17609	4B5320	50
_h6_2610	19480.37	14514.1	-1	ddd	10
_h6_2683	8410.36	13441.94	217097	030507	50
_h6_3880	44123.93	31035.38	276789	8B008B	50
_h6_1221	22895.55	21860.51	187	F64A8A	50
_h6_2881	25072.29	26523.8	-1	ddd	10
_h5_4682	26865.26	27942.64	128570	99BADD	50
_h6_1418	15485.37	14265.63	268482	B8860B	50
_h5_4680	19572.29	19726.45	17609	4B5320	50
_h5_4735	22800.76	23422.53	187	F64A8A	50
_h5_4687	26140.88	25642.42	189638	8F00FF	50
_h6_1192	7172.11	12272.34	-1	ddd	10
_h5_4685	26465.07	25820.48	189638	8F00FF	50
_h5_4671	22855.12	23426.05	187	F64A8A	50
_h5_4684	33198.3	26617.3	196739	96C8A2	50
_h6_10	23505.34	21165.92	-1	ddd	10
_h5_4236	28512.38	12951.64	-1	ddd	10
_h6_2560	17127.28	24563.42	59450	CC0000	50
_h6_2798	37268.68	27861.58	196739	96C8A2	50
_h6_747	17561.11	16446.66	268482	B8860B	50
_h6_3814	6926.86	27423.44	-1	ddd	10
_h6_1533	15453.66	14231.16	268482	B8860B	50
_h5_4805	34041.71	26698.56	196739	96C8A2	50
_h6_2463	28214.37	29819.5	-1	ddd	10
_h6_778	21776.26	20725.15	-1	ddd	10
_h5_4861	28981.23	26399.5	189638	8F00FF	50
_h6_3792	8082.87	24822.83	-1	ddd	10
_h6_2091	32459.6	26792.72	196739	96C8A2	50
_h5_4845	21083.79	12534.0	-1	ddd	10
_h6_615	26890.03	26123.11	189638	8F00FF	50
_h5_4445	22062.08	27192.81	-1	ddd	10
_h5_4226	22708.79	23397.75	187	F64A8A	50
_h6_3499	15745.42	14513.15	268482	B8860B	50
_h6_6	25119.6	24747.88	189638	8F00FF	50
_h6_4026	14701.66	13256.29	268482	B8860B	50
_h5_3725	5843.39	12155.78	-1	ddd	10
_h6_2013	18987.38	17070.57	17609	4B5320	50
_h6_3287	23908.99	22346.53	-1	ddd	10
_h6_3557	21914.24	14569.59	-1	ddd	10
_h5_3652	31906.32	34833.77	-1	ddd	10
_h6_3934	22067.79	11999.0	-1	ddd	10
_h6_138	22235.62	18854.74	122	ACE1AF	50
_h6_3928	18262.99	28084.97	-1	ddd	10
_h5_4130	11931.88	9976.61	-1	ddd	10
_h5_4657	22588.05	23357.55	187	F64A8A	50
_h5_4446	25129.92	24741.17	189638	8F00FF	50
_h6_7	24560.83	15135.84	-1	ddd	10
_h5_4869	6219.82	20876.35	-1	ddd	10
_h6_3051	25760.44	35576.55	-1	ddd	10
_h5_4456	24139.37	23871.42	-1	ddd	10
_h5_4714	17558.44	16439.47	268482	B8860B	50
_h5_4854	20019.45	17869.25	17609	4B5320	50
_h5_4356	20569.02	18424.59	122	ACE1AF	50
_h6_1129	19138.43	22269.38	17609	4B5320	50
_h6_1183	19081.88	21032.13	17609	4B5320	50
_h6_3330	8404.98	28864.09	-1	ddd	10
_h6_3510	22361.84	15316.46	122	ACE1AF	50
_h6_1485	9739.17	24879.0	-1	ddd	10
_h6_281	25943.46	25085.49	189638	8F00FF	50
_h5_4438	14853.51	13519.47	268482	B8860B	50
_h6_3065	13204.54	25211.62	163408	FF77FF	50
_h6_1721	13234.6	11612.29	246266	B31B1B	50
_h5_4468	13174.08	25213.21	163408	FF77FF	50
_h5_4581	21623.37	23530.78	-1	ddd	10
_h6_2788	27489.91	28861.2	128570	99BADD	50
_h5_4453	23218.27	23655.0	187	F64A8A	50
_h5_4533	17251.57	16093.7	268482	B8860B	50
_h6_2836	27573.64	28981.1	-1	ddd	10
_h5_4535	26730.05	26076.48	189638	8F00FF	50
_h6_1884	26901.76	23223.74	100564	006B3C	50
_h6_2651	19707.78	19658.57	17609	4B5320	50
_h6_1839	26757.84	28192.94	128570	99BADD	50
_h5_3879	12358.1	22744.29	-1	ddd	10
_h5_4537	26822.68	27880.45	128570	99BADD	50
_h6_3907	30584.82	32690.12	-1	ddd	10
_h6_1505	32447.82	26143.6	196739	96C8A2	50
_h6_1602	26416.51	27317.13	128570	99BADD	50
_h6_761	25801.29	21751.04	100564	006B3C	50
_h6_3886	15272.18	14000.23	268482	B8860B	50
_h6_2942	14742.53	20354.26	-1	ddd	10
_h6_3443	41228.72	30691.15	276789	8B008B	50
_h6_2291	21150.2	21356.6	187	F64A8A	50
_h6_1801	15778.27	24734.32	59450	CC0000	50
_h6_2805	18664.16	15486.71	-1	ddd	10
_h6_1893	20224.91	12456.47	-1	ddd	10
_h5_4433	22040.99	14865.9	-1	ddd	10
_h5_4436	24064.43	24465.73	187	F64A8A	50
_h6_1484	25493.52	20852.57	100564	006B3C	50
_h5_4059	22787.04	29403.25	-1	ddd	10
_h6_1493	22891.85	22212.05	187	F64A8A	50
_h6_1321	21307.73	18961.9	122	ACE1AF	50
_h5_4013	25902.92	30685.33	-1	ddd	10
_h6_1507	25814.88	21849.72	100564	006B3C	50
_h5_4666	34211.4	22389.68	-1	ddd	10
_h5_4672	24040.76	24449.32	187	F64A8A	50
_h6_3300	17556.7	16421.22	268482	B8860B	50
_h5_4678	23249.1	28693.43	-1	ddd	10
_h6_1695	25880.93	25536.5	189638	8F00FF	50
_h6_3028	14648.72	13217.39	268482	B8860B	50
_h6_3160	25724.17	16704.22	295444	8CBED6	50
_h5_4298	15987.91	13407.79	-1	ddd	10
_h6_3749	33359.53	19218.11	-1	ddd	10
_h6_1086	31966.45	23443.43	-1	ddd	10
_h6_908	23774.14	21578.99	-1	ddd	10
_h6_769	29783.26	22716.08	100564	006B3C	50
