id	x	y	group	color	size
_h5_4339	36315.28	30446.62	-1	ddd	10
_h5_4338	18892.54	21678.45	108	E5AA70	50
_h5_4310	18942.06	21681.47	108	E5AA70	50
_h6_202	15044.66	13733.49	2	FF7F50	50
_h5_4448	31901.6	26233.2	81	E0B582	50
_h5_3792	31989.23	26269.17	81	E0B582	50
_h5_4347	31627.07	26117.94	81	E0B582	50
_h5_4324	31799.84	26190.47	81	E0B582	50
_h5_4333	28063.78	22869.35	359	4F7942	50
_h5_4365	28244.17	22818.64	359	4F7942	50
_h5_4332	28951.59	26404.03	152	AA381E	50
_h5_4209	28678.75	26430.69	152	AA381E	50
_h5_4280	28908.38	26409.9	152	AA381E	50
_h5_4302	29211.76	26353.64	152	AA381E	50
_h5_4331	17945.83	25881.63	178	6C541E	50
_h5_3941	21006.73	26838.56	-1	ddd	10
_h5_4116	20627.28	26569.65	-1	ddd	10
_h5_4631	19466.7	24894.1	-1	ddd	10
_h5_3684	17901.56	25623.51	178	6C541E	50
_h5_4330	34584.96	20371.4	-1	ddd	10
_h5_4669	36087.78	17654.53	-1	ddd	10
_h5_4337	19120.3	23807.75	276	856088	50
_h5_3594	19152.4	23740.63	276	856088	50
_h5_4036	19250.28	21668.67	108	E5AA70	50
_h5_4068	19130.79	23478.63	276	856088	50
_h5_4362	19248.46	21694.04	108	E5AA70	50
_h5_4378	18965.32	24032.51	276	856088	50
_h5_4336	25516.38	20886.58	138	CC6666	50
_h5_3703	21558.59	18950.46	204	013220	50
_h5_3818	22394.7	18998.0	204	013220	50
_h5_3819	22164.31	18770.33	204	013220	50
_h5_4049	25674.5	21163.13	138	CC6666	50
_h5_4360	25383.91	20697.06	138	CC6666	50
_h5_4487	25539.79	20923.16	138	CC6666	50
_h5_3849	22082.62	18904.02	204	013220	50
_h5_3860	21903.61	18925.17	204	013220	50
_h5_4335	26314.23	24680.24	-1	ddd	10
_h5_4128	26304.2	24925.17	219	004B49	50
_h5_4334	22283.27	23314.48	15	F7E98E	50
_h5_4308	22396.97	23305.94	15	F7E98E	50
_h5_4724	19433.79	17367.77	73	E5CCC9	50
_h5_3731	15212.56	14103.91	2	FF7F50	50
_h5_4715	18192.51	17125.47	170	0047AB	50
_h5_4730	19239.04	17203.56	73	E5CCC9	50
_h5_4725	22589.64	17937.27	380	FFFAF0	50
_h5_4743	22641.16	17816.89	380	FFFAF0	50
_h5_4689	34989.63	19382.51	346	FFBF00	50
_h5_4134	35118.53	19635.0	346	FFBF00	50
_h5_4688	28050.83	29710.73	-1	ddd	10
_h5_4720	20516.71	12345.86	281	555555	50
_h5_4700	20430.78	12227.34	281	555555	50
_h5_4721	25069.38	18053.52	301	CCFF00	50
_h5_4749	25069.93	17996.79	301	CCFF00	50
_h5_4722	21350.87	21811.35	-1	ddd	10
_h5_4638	22030.84	22500.76	60	6F00FF	50
_h5_4723	38660.34	29138.23	84	014421	50
_h5_4153	40667.18	31881.21	-1	ddd	10
_h5_4620	38905.5	29248.63	84	014421	50
_h5_4642	38860.21	29231.11	84	014421	50
_h5_4741	38520.94	29055.34	84	014421	50
_h5_4745	38753.48	29184.79	84	014421	50
_h5_4779	38874.04	29232.92	84	014421	50
_h5_4683	22405.38	18486.26	204	013220	50
_h5_4644	22445.23	18413.56	204	013220	50
_h5_4682	37562.71	21139.62	-1	ddd	10
_h5_4681	26119.26	23265.88	-1	ddd	10
_h5_4680	38128.42	28746.97	84	014421	50
_h5_4735	38281.29	28875.91	84	014421	50
_h5_4687	36200.85	17228.08	-1	ddd	10
_h5_4686	20709.46	18516.33	-1	ddd	10
_h5_4685	14587.18	20328.52	293	BE0032	50
_h5_4671	14758.43	20356.89	293	BE0032	50
_h5_4684	44083.36	25096.6	-1	ddd	10
_h6_10	15473.82	14039.8	2	FF7F50	50
_h5_4236	15739.43	14120.16	2	FF7F50	50
_h5_4690	14431.17	15422.9	206	AD6F69	50
_h5_4718	24698.0	10691.98	-1	ddd	10
_h5_4777	15209.44	12946.83	-1	ddd	10
_h5_4467	17267.56	16083.6	171	0072BB	50
_h5_4709	14862.13	13561.2	2	FF7F50	50
_h5_4805	17197.81	15986.73	171	0072BB	50
_h5_4738	15052.88	13804.49	2	FF7F50	50
_h5_4770	15231.72	12997.33	-1	ddd	10
_h5_4861	43264.9	23613.37	-1	ddd	10
_h6_156	19894.44	23413.82	150	DE5285	50
_h5_4668	15056.7	13741.98	2	FF7F50	50
_h5_4845	9878.5	24850.67	-1	ddd	10
_h5_3857	5598.83	25151.27	-1	ddd	10
_h5_4445	34835.0	26719.34	262	FD6C9E	50
_h5_4226	35007.66	26710.92	262	FD6C9E	50
_h5_4558	35086.56	26711.89	262	FD6C9E	50
_h6_6	21203.96	13649.19	-1	ddd	10
_h5_4444	21264.56	17147.45	-1	ddd	10
_h5_3725	19614.74	19925.45	39	6C3082	50
_h5_4450	24134.87	18911.34	138	CC6666	50
_h5_4480	19371.2	20128.5	39	6C3082	50
_h5_3798	22570.76	27613.23	-1	ddd	10
_h5_3652	22715.21	27979.48	-1	ddd	10
_h5_3877	22584.87	28089.54	-1	ddd	10
_h6_138	6915.59	27879.0	-1	ddd	10
_h5_4447	34462.65	22439.56	-1	ddd	10
_h5_4130	14632.2	25276.67	187	F64A8A	50
_h5_4657	14722.49	25241.66	187	F64A8A	50
_h5_4446	29618.86	17131.05	-1	ddd	10
_h6_7	12053.54	10391.65	-1	ddd	10
_h5_4869	11417.51	10736.65	-1	ddd	10
_h5_4441	17979.26	26185.65	-1	ddd	10
_h5_4456	19155.99	23373.17	276	856088	50
_h5_4714	21609.56	28967.53	-1	ddd	10
_h5_4854	31186.94	15588.62	404	AC1E44	50
_h5_4356	31350.2	15595.11	404	AC1E44	50
_h5_4590	12241.92	22854.27	-1	ddd	10
_h5_4440	22109.78	21285.56	197	A6E7FF	50
_h5_4434	21860.5	21339.89	197	A6E7FF	50
_h5_4729	21859.91	21259.36	197	A6E7FF	50
_h5_3661	22541.95	21456.04	-1	ddd	10
_h6_281	44122.92	31034.39	410	FBEC5D	50
_h5_4438	30021.7	22806.49	-1	ddd	10
_h5_3828	32058.25	21963.33	207	FF77FF	50
_h5_4401	31969.64	23413.55	-1	ddd	10
_h5_4468	30350.99	22789.19	-1	ddd	10
_h5_4581	30201.08	22832.75	-1	ddd	10
_h5_4439	18178.23	21334.18	369	E48400	50
_h5_4453	18002.54	21281.45	369	E48400	50
_h5_4533	31741.4	21829.15	207	FF77FF	50
_h5_4532	24401.99	15238.28	-1	ddd	10
_h5_4535	42446.62	23342.64	26	6D9BC3	50
_h5_4443	25832.19	22531.39	-1	ddd	10
_h5_3739	23315.25	18653.46	138	CC6666	50
_h5_3832	23454.52	18667.18	138	CC6666	50
_h5_3879	23497.8	18673.79	138	CC6666	50
_h5_4537	34945.96	19296.95	346	FFBF00	50
_h5_4279	34971.68	19347.35	346	FFBF00	50
_h5_4035	21944.18	35027.17	-1	ddd	10
_h5_4430	27618.11	26290.0	219	004B49	50
_h5_4044	27490.69	26267.48	219	004B49	50
_h5_4102	25775.87	22133.49	-1	ddd	10
_h5_4431	24794.18	26192.35	-1	ddd	10
_h5_3930	26764.23	26037.99	219	004B49	50
_h5_4369	26267.78	25654.99	219	004B49	50
_h5_4400	26497.46	25974.1	219	004B49	50
_h5_4432	21633.92	19255.48	-1	ddd	10
_h5_4351	21779.55	20724.94	-1	ddd	10
_h5_4433	10916.84	28400.11	-1	ddd	10
_h5_4436	19783.93	18228.36	73	E5CCC9	50
_h5_4048	19678.58	17611.41	73	E5CCC9	50
_h5_4059	19752.58	17991.49	73	E5CCC9	50
_h5_4656	19701.6	17632.44	73	E5CCC9	50
_h5_3974	15910.85	14651.57	171	0072BB	50
_h5_4013	19761.69	18039.62	73	E5CCC9	50
_h5_4651	19777.96	18154.92	73	E5CCC9	50
_h5_4666	19770.81	18100.77	73	E5CCC9	50
_h5_4672	19755.54	18022.41	73	E5CCC9	50
_h5_4676	19781.61	18301.57	73	E5CCC9	50
_h5_4678	19779.28	18205.34	73	E5CCC9	50
_h5_4702	19788.71	18422.85	73	E5CCC9	50
_h5_4437	27271.93	23211.92	196	7E5E60	50
_h5_3766	30917.72	22481.22	-1	ddd	10
_h5_4298	27507.87	23206.3	196	7E5E60	50
_h5_4871	24264.16	22645.73	-1	ddd	10
_h5_3604	22887.17	21763.26	42	E1A95F	50
_h5_3647	22911.86	21944.13	42	E1A95F	50
_h5_3829	22911.19	21940.45	42	E1A95F	50
_h6_157	15522.22	14153.26	2	FF7F50	50
_h5_4732	24126.87	22439.19	-1	ddd	10
_h5_4037	21715.17	19787.61	-1	ddd	10
_h5_4531	17280.9	20973.92	205	555D50	50
_h5_4512	17317.78	20999.52	205	555D50	50
_h5_4139	25486.63	25096.27	1	C2B280	50
_h5_3932	25482.45	25091.9	1	C2B280	50
_h5_4206	25490.47	25100.28	1	C2B280	50
_h5_3859	25450.31	25076.46	1	C2B280	50
_h5_3953	25494.3	25104.28	1	C2B280	50
_h5_4007	25488.51	25103.0	1	C2B280	50
_h5_4014	25492.29	25106.95	1	C2B280	50
_h6_325	22827.05	12962.46	-1	ddd	10
_h5_4726	28312.56	29891.41	-1	ddd	10
_h5_3695	30603.23	32612.85	1866	B284BE	50
_h5_4138	39290.5	27841.58	-1	ddd	10
_h5_4032	21668.74	22895.35	60	6F00FF	50
_h5_4065	21683.1	22892.84	60	6F00FF	50
_h5_4248	21635.7	22902.37	60	6F00FF	50
_h5_3793	22850.87	21208.66	42	E1A95F	50
_h5_4451	23397.56	21278.0	42	E1A95F	50
_h5_4710	23028.4	19881.39	-1	ddd	10
_h5_4775	22920.81	21434.47	42	E1A95F	50
_h5_3826	19203.33	20498.68	39	6C3082	50
_h5_3815	19582.71	19621.05	39	6C3082	50
_h5_3675	19573.56	19658.37	39	6C3082	50
_h5_4457	23959.91	18809.19	138	CC6666	50
_h6_203	43847.26	30832.76	410	FBEC5D	50
_h5_3825	8329.19	10719.94	115	00FFFF	50
_h5_4853	8482.59	11317.13	-1	ddd	10
_h5_3822	21150.04	18956.03	204	013220	50
_h5_3931	18137.17	16824.92	170	0047AB	50
_h5_4539	20421.33	21306.96	-1	ddd	10
_h5_4547	21003.01	18975.13	204	013220	50
_h5_4568	21047.95	18968.49	204	013220	50
_h5_4578	19313.7	20237.39	39	6C3082	50
_h5_3820	22582.49	23356.05	15	F7E98E	50
_h5_3557	21912.6	22706.36	60	6F00FF	50
_h5_3622	21874.24	22627.53	60	6F00FF	50
_h5_3623	21890.92	22628.04	60	6F00FF	50
_h5_3713	22414.35	23310.81	15	F7E98E	50
_h5_3747	22455.09	23322.22	15	F7E98E	50
_h5_3772	22395.73	23021.47	273	177245	50
_h5_4062	22401.16	23023.76	273	177245	50
_h5_4559	21704.84	22852.43	60	6F00FF	50
_h5_3821	24879.05	22974.24	-1	ddd	10
_h5_4561	22282.6	18843.52	204	013220	50
_h5_3881	18957.22	17078.61	73	E5CCC9	50
_h5_4190	19099.07	20917.57	108	E5AA70	50
_h5_4389	21729.71	18924.78	204	013220	50
_h5_4519	19085.08	21632.38	108	E5AA70	50
_h5_3799	22231.35	18859.14	204	013220	50
_h5_4354	22441.87	18800.67	204	013220	50
_h5_4552	22167.81	18869.72	204	013220	50
_h5_4833	16891.86	15567.68	171	0072BB	50
_h5_4635	13655.06	11992.98	161	918151	50
_h5_4830	16897.81	15570.35	171	0072BB	50
_h5_4852	16946.63	15633.37	171	0072BB	50
_h5_4864	16870.11	15531.37	171	0072BB	50
_h5_4596	23180.76	23945.49	15	F7E98E	50
_h5_3733	22746.03	24805.62	286	3F00FF	50
_h5_4131	21893.37	24601.14	-1	ddd	10
_h5_4366	26085.59	23360.35	-1	ddd	10
_h5_3883	29858.97	22703.91	-1	ddd	10
_h5_4038	28723.07	23555.88	-1	ddd	10
_h5_4216	26203.08	23488.36	-1	ddd	10
_h5_3554	23793.47	23701.32	-1	ddd	10
_h5_3656	23674.79	23656.08	-1	ddd	10
_h5_4004	22754.8	23410.15	15	F7E98E	50
_h5_3650	23762.19	23688.28	-1	ddd	10
_h5_3671	23723.22	23672.7	-1	ddd	10
_h5_3878	23858.26	23732.52	-1	ddd	10
_h5_3951	23825.21	23718.12	-1	ddd	10
_h5_3555	35424.81	30967.86	-1	ddd	10
_h5_3552	18699.4	24262.01	276	856088	50
_h5_3697	18867.91	21901.43	108	E5AA70	50
_h5_4274	20340.11	19187.87	39	6C3082	50
_h5_4246	19374.18	21660.48	108	E5AA70	50
_h5_3670	19156.9	23367.22	276	856088	50
_h5_3682	18742.76	22305.82	-1	ddd	10
_h5_4084	19850.92	21646.02	-1	ddd	10
_h5_4118	19987.0	19404.33	39	6C3082	50
_h5_4136	19986.71	19408.71	39	6C3082	50
_h5_4141	20101.76	21838.91	-1	ddd	10
_h5_4158	19851.43	21642.77	-1	ddd	10
_h5_4300	19845.02	21641.75	-1	ddd	10
_h5_4312	19668.13	19362.45	39	6C3082	50
_h5_3553	40238.54	29772.85	146	FFFDD0	50
_h5_4461	35548.24	26708.58	262	FD6C9E	50
_h5_3593	38506.44	28349.69	-1	ddd	10
_h5_4161	35865.22	26757.75	61	B48395	50
_h5_4497	35997.26	26794.82	61	B48395	50
_h5_4189	23657.29	23650.5	-1	ddd	10
_h5_3601	22699.0	23387.42	15	F7E98E	50
_h5_3621	22720.19	23389.71	15	F7E98E	50
_h5_3648	22746.45	23396.78	15	F7E98E	50
_h5_3686	21891.72	22880.2	60	6F00FF	50
_h5_3927	23249.56	23730.0	15	F7E98E	50
